"hrl_code";"code";"wet_naam";"volgnr";"soortenlijstnr"
"M";"water_moeras";"Apium inundatum (L.) Reichenb. f.";306556;688
"rbbZil";"Sleutelsoorten";"Apium nodiflorum (L.) Lag.";6168;502
"rbbZil";"Sleutelsoorten";"Apium nodiflorum (L.) Lag.";6212;503
"G";"Obligaat freatofyt";"Apium nodiflorum (L.) Lag.";8092;550
"M";"rietl-begeleiders";"Apium nodiflorum (L.) Lag.";305957;653
"M";"water_moeras";"Apium nodiflorum (L.) Lag.";306557;688
;;"Apium nodiflorum (L.) Lag.";306852;691
"M";;"Apium nodiflorum (L.) Lag.";306870;694
"G";"rbbZil-groep1";"Apium repens (Jacq.) Lag.";5326;464
"rbbVos";"rbbZil-groep";"Apium repens (Jacq.) Lag.";5451;467
"rbbZil";"SleutelsoortenStart";"Apium repens (Jacq.) Lag.";5625;474
"rbbZil";"SleutelsoortenStart";"Apium repens (Jacq.) Lag.";6138;502
"rbbZil";"SleutelsoortenStart";"Apium repens (Jacq.) Lag.";6187;503
"G";"Obligaat freatofyt";"Apium repens (Jacq.) Lag.";8093;550
"G";"Zil-groep uitgebreid";"Apium repens (Jacq.) Lag.";9571;581
"G";"ruderaal_ruim-groep";"Apium repens (Jacq.) Lag.";294116;587
"G";"vos diff hu-groep";"Apium repens (Jacq.) Lag.";295107;596
"G";"zil diff vos-groep";"Apium repens (Jacq.) Lag.";295412;598
"G";"zil diff hc-groep";"Apium repens (Jacq.) Lag.";295523;601
"M";;"Apium repens (Jacq.) Lag.";306964;695
"G";"Hk-Groep1";"Arabis hirsuta (L.) Scop.";7751;538
"G";"hk_uitgebreid-groep";"Arabis hirsuta (L.) Scop.";9314;579
"G";"Hk-Groep1";"Arabis hirsuta (L.) Scop. subsp. sagittata (Bertol.) Nyman";7750;538
"G";"hk_uitgebreid-groep";"Arabis hirsuta (L.) Scop. subsp. sagittata (Bertol.) Nyman";9315;579
"G";"verlatengrasland";"Arctium";8550;560
"G";"verlatengrasland";"Arctium lappa L.";8549;560
"G";"verlatengrasland";"Arctium minus (Hill) Bernh.";8551;560
"G";"6430_bz";"Arctium nemorosum Lej.";9019;573
"G";"6430_bz";"Arctium tomentosum Mill.";9020;573
"Ha";"SleutelsoortenStart";"Arenaria serpyllifolia L.";6581;504
"Ha";;"Arenaria serpyllifolia L.";6579;521
"G";"eenjarigen-heide";"Arenaria serpyllifolia L.";8353;553
"G";"ruderaal_ruim-groep";"Arenaria serpyllifolia L.";294117;587
"G";"cg diff ce-groep";"Arenaria serpyllifolia L.";303625;649
"rbbZil";"ziltegroep";"Armeria maritima Willd.";5674;475
"G";"eenjarigen-heide";"Arnoseris minima (L.) Schweigg. et Körte";8354;553
