"soortnum";"wet_naam";"ned_naam";"aut_naam";"wet_naam_auteur";"lettcode";"familie";"genus";"soort";"syst_niv";"stlyst90";"flora_90";"status";"uhokn50";"uhokn80";"herkmst1";"herkmst2";"herkmst3";"ufk_40";"ufk_90";"uhokv50";"uhokv80";"lv_duur";"lv_vorm";"gr_vorm1";"gr_vorm2";"gr_vorm3";"anat_bld";"grn_bld";"vorm_bld";"hgt_min";"hgt_max";"hgt_extr";"gesl_blm";"blmkleur";"vr_type";"vr_kleur";"zaadmorf";"wrtldiep";"kiemtijd";"bgnbloei";"endbloei";"grondwtr";"lichtind";"temptind";"contiind";"vochtind";"zuurgind";"stiksind";"zout_ind";"zwareind";"maai_ind";"stro_min";"stro_max";"stro_ext";"oeco_grp";"ecol_grp";"transgr";"westhoff";"ellenbrg";"ecotp_01";"ecotp_02";"ecotp_03";"ecotp_04";"ecotp_05";"ecotp_06";"ecotp_07";"ecotp_08";"ecotp_09";"ecotp_10";"ecotpamp";"gebruik1";"gebruik2";"gebruik3";"gebruik4";"wett_bes";"redlist1";"redlist2";"bestuiv1";"bestuiv2";"bestuiv3";"zbestuiv";"plg_ligg";"plg_nord";"plg_west";"plg_midd";"plg_oost";"plg_z_o";"plg_zuid";"plg_fryk";"plg_amer";"plg_euro";"plg_azie";"plg_bron";"plg_noot";"plg_mont";"r_salinit";"r_alkalin";"r_dom_anio";"r_carbogeh";"r_trofiegr";"type";"selectie"
1005;"Potentilla anglica";"Kruipganzerik";"Laicharding";"Potentilla anglica Laicharding";"POTENANG";" 50";" 9";" 6";" 2";"1";"1";"1";" 433";" 553";"  1";;;"7";"7";;;"6";"H";"64";;;;;"hs";"  10";"  20";;"C";"F";"32";"o";" 1";;"12/22";" 6";" 8";"5";"7";"6";"2";" 5";"8";"4";"0";"0";;"9";"9";"9";"21";"616";"0";"25Ac";;"G27";"G42";"G47";;;;;;;;"2";"99";;;;"0";;;"I";;;;"c";"0";"3";"3";"+";"+";"+";"A";"*";"*";"*";"134";"X";"sm";;;;;;"H";0
1006;"Potentilla anserina";"Zilverschoon";"L.";"Potentilla anserina L.";"POTENANS";" 50";" 9";" 3";" 2";"1";"1";"1";"1631";"1528";"  1";;;"9";"9";;;"6";"H";"63";;;"32";"W";"vs";"   5";"  30";"  45";"C";"F";"32";"o";" 1";"11";"21";" 5";" 8";"5";"7";"6";"X";" 6*";"X";"7";"1";"0";"8";"9";"9";"9";"21";"601";"7";"16Ab";"37100";"bP20";"P48t";"G27";"G28";"bG20";"G47";"G48";;;;"2";"16";;;;"0";;;"I1";;;"Z";"c";"3";"4";"4";"4";"2";"1";"A";"*";"*";"*";"135";"H";"al";;;;;;"H";0
1007;"Potentilla argentea";"Viltganzerik";"L.";"Potentilla argentea L.";"POTENARG";" 50";" 9";"11";" 2";"1";"1";"1";" 247";" 206";"  1";;;"6";"6";;;"6";"H";"64";;;"50";"W";"hs";"  15";"  30";;"C";"F";"32";"o";" 1";"44";"22/12";" 6";" 7";"7";"9";"6";"3";" 2";"3";"1";"0";"0";;"9";"9";"9";"64";"604";"0";"20";"52000";"G62";;;;;;;;;;"1";"99";;;;"0";;;"IH";"A";;;"c";"2";"3";"4";"4";"4";"2";"A";".";"*";"*";"13";"X";"sa";;;;;;"H";0
1008;"Potentilla erecta";"Tormentil";"(L.) Rauschel";"Potentilla erecta (L.) Rauschel";"POTENERE";" 50";" 9";" 5";" 2";"1";"1";"1";"1025";" 921";"  1";;;"8";"8";;;"6";"H";"61";;;"50";"W";"hs";"  15";"  50";;"C";"F";"32";"o";" 1";"13";"13/21";" 6";" 8";"5";"6";"X";"3";"X";"X";"2";"0";"0";"3";"9";"9";"9";"75";"617";"0";"30";"51000";"G21";"G22";"G41";"G42";;;;;;;"2";"16";;;;"0";;;"I*";;;;"c";"3";"4";"4";"4";"2";"2";"A";".";"*";"*";"134";"X";"al";;;;;;"H";0
1009;"Potentilla intermedia";"Middelste ganzerik";"L.";"Potentilla intermedia L.";"POTENINT";" 50";" 9";"14";" 2";"1";"1";"32";"  77";"  69";"155";"156";;"4";"4";;;"2+6";"H";"65";;;"54";"W";"hs";"  20";"  50";;"C";"F";"32";"o";" 1";;"32";" 6";" 8";"7";"8";"6";"6";" 3";"7";"4";"0";"0";;"9";"9";"9";"15";"312";"0";"12Ba05";"33410";"P67";;;;;;;;;;"1";"99";;;;"0";;;"I";;;;"s";"2";"1";"1";"2";"0";"0";"A";".";"*";".";"3";"C";"co";;;;;;"H";0
1010;"Potentilla reptans";"Vijfvingerkruid";"L.";"Potentilla reptans L.";"POTENREP";" 50";" 9";" 9";" 2";"1";"1";"1";" 847";"1075";"  1";;;"8";"8";;;"6";"H";"64";;;"43";"W";"hs";"  10";"  20";;"C";"F";"32";"o";"10";"23";"22/32";" 6";" 8";"7";"6";"6";"3";" 6";"7";"5";"0";"0";"8";"9";"9";"9";"21";"602";;;"37210";"P60m";"G47";"G48";"bG40";"G67";;;;;;"2";"16";;;;"0";;;"ID";"IH";;;"c";"+";"4";"4";"4";"4";"4";"A";".";"*";"*";"3";"X";"mo";;;;;;"H";0
1011;"Potentilla sterilis";"Aardbeiganzerik";"(L.) Garcke";"Potentilla sterilis (L.) Garcke";"POTENSTE";" 50";" 9";" 4";" 2";"1";"1";"1";"  42";"  28";"  1";;;"4";"3";;;"6";"H";"61";;;"40";"W";"hs";"   5";"  15";;"C";"A";"32";"o";;;"13";" 3";" 5";"7";"5";"5";"2";" 5";"6";"6";"0";"0";;"9";"9";"9";"94";"909";"2";"38Ab01";"84320";"H43";;;;;;;;;;"1";"99";;;;"0";"+";"3";"ID";"IH";;;"m";"0";"4";"3";"0";"+";"+";"A";"*";"*";".";"134";"M";"mo";;;;;;"H";0
1012;"Potentilla supina";"Liggende ganzerik";"L.";"Potentilla supina L.";"POTENSUP";" 50";" 9";" 2";" 2";"1";"1";"1";"  41";"  83";"  1";;;"4";"5";;;"1+8";"T";"61";;;;;"vs";"   5";"  45";;"C";"F";"32";"o";" 1";;"32";" 6";" 9";"3";"7";"7";"5";" 8=";"6";"7";"2";"0";;"9";"9";"9";"23";"308";"0";"10Aa06";;"P28";;;;;;;;;;"1";"99";;;;"0";;;"I";;;;"m";"+";"+";"3";"3";"2";"+";"A";".";"*";"*";"3";"C";"co";;;;;;"H";0
1013;"Potentilla verna";"Voorjaarsganzerik";"L.";"Potentilla verna L.";"POTENVER";" 50";" 9";"10";" 2";"1";"1";"1";"  95";" 102";"  1";;;"5";"5";;;"6";"H";"64";;;"54";"W";"hs";"   5";"  15";;"C";"F";"32";"o";" 1";"24";"12";" 3";" 6";"7";"8";"6";"4";" 3";"7";"2";"0";"0";;"9";"9";"9";"63";"607";;;"    0";"G62";"G63";;;;;;;;;"1";"99";;;;"0";;;"I";"A";;;"s";"0";"3";"3";"0";"1";"1";"A";".";"*";".";"13";"AI";"al";;;;;;"H";0
1014;"Primula elatior";"Slanke sleutelbloem";"(L.) Hill";"Primula elatior (L.) Hill";"PRIMUELA";" 87";" 1";" 3";" 2";"1";"1";"17";" 133";" 119";"  1";;;"5";"5";;;"6";"H";"63";;;"30";"S";"lc";"  15";"  30";;"C";"F";"43";"o";" 1";;"12";" 3";" 5";"6";"6";"X";"4";" 6";"7";"7";"0";"0";"5";"9";"9";"9";"92";"907";"0";"38A";"    0";"G27";"H43";"H47";;;;;;;;"2";"16";;;;"1";;;"IH";"IL";;"Z";"m";"0";"3";"3";"+";"1";"+";"A";".";"*";"*";"13";"BH";"al";;;;;;"H";0
1015;"Primula veris";"Gulden sleutelbloem";"L.";"Primula veris L.";"PRIMUVER";" 87";" 1";" 2";" 2";"1";"1";"17";"  77";"  58";"  1";;;"4";"3";;;"6";"H";"63";;;"40";"W";"lc";"  15";"  30";;"C";"F";"43";"o";" 1";"22";"12";" 4";" 6";"7";"7";"X";"3";" 4";"8";"3";"0";"0";"5";"9";"9";"9";"63";"608";"7";"21Aa";"53213";"G43";"G47k";"H43";"H47";;;;;;;"2";"16";;;;"1";;"3";"I";;;"Z";"s";"1";"4";"4";"4";"2";"1";"A";".";"*";"*";"13";"BM";"sa";;;;;;"H";0
1016;"Primula vulgaris";"Stengelloze sleutelbloem";"Hudson";"Primula vulgaris Hudson";"PRIMUVUL";" 87";" 1";" 1";" 2";"1";"1";"17";"  37";"  39";"  1";;;"4";"4";;;"6";"H";"63";;;"30";"V";"lc";"   5";"  15";;"C";"F";"43";"o";"10";;"12   ?";"3";" 5";"7";"6";"5";"2";" 5";"7";"5";"0";"0";;"9";"9";"9";"92";"909";"0";"38Aa07";"84300";"H42";"H47";;;;;;;;;"1";"99";;;;"1";"+c";"4";"IH";"IL";;"Z";"c";"+";"4";"2";"+";"3";"3";"A";".";"*";"*";"13";"BM";"mo";;;;;;"H";0
1017;"Prunella vulgaris";"Gewone brunel";"L.";"Prunella vulgaris L.";"PRUNEVUL";"101";"13";" 1";" 2";"1";"1";"1";"1453";"1324";"  1";;;"9";"9";;;"6";"H";"65";"61";;"40";"W";"lw";"   7";"  45";;"C";"P:C";"41";"o";" 1";"22";"31/12";"5";"13";"9";"7";"X";"3";" 5";"7";"X";"0";"0";"9";"9";"9";"9";"51";"610";"0";"25";"54000";"G47";;;;;;;;;;"1";"16";;;;"0";;;"IH";;;"Z";"c";"3";"4";"4";"4";"4";"4";"A";".";"*";"*";"135";"X";"sa";;;;;;"H";0
1018;"Prunus avium";"Zoete kers";"(L.) L.";"Prunus avium (L.) L.";"PRUNUAVI";" 50";"21";" 5";" 2";"1";"1";"18";" 209";" 505";"  1";;;"6";"7";;;"7";"P";"73";"83";;"40";"S";"lw";" 300";"2000";;"C";"A";"52";"r";" 4";;"12";"4";" 5";"7";"4";"5";"4";" 5";"7";"5";"0";"0";;"9";"9";"9";"92";"909";"2";"38Ab01";"84300";"H42";"H43";"H47";;;;;;;;"2";"24";"30";;;"0";;;"I";;;"Z";"s";"+";"3";"4";"1";"3";"2";"A";".";"*";"*";"13";"D";"mo";;;;;;"H";0
1019;"Prunus padus";"Vogelkers";"L.";"Prunus padus L.";"PRUNUPAD";" 50";"21";" 3";" 2";"1";"1";"17";;;"  1";;;"7";"8";" 391";" 970";"7";"P";"73";"83";;"42";"S";"lw";" 300";"1500";;"C";"A";"52";"n";" 4";;"12";"4";" 5";"5";"5";"5";"3";" 8=";"7";"6";"0";"0";;"9";"9";"9";"92";"908";"0";"38Aa";"84330";"H42";"H47";;;;;;;;;"1";"16";"30";;;"0";;;"I";;;;"s";"4";"2";"4";"4";"1";"+";"A";".";"*";"*";"13";"H";"mo";;;;;;"H";0
1020;"Prunus serotina";"Amerikaanse vogelkers";"Ehrhart";"Prunus serotina Ehrhart";"PRUNUSER";" 50";"21";" 2";" 2";"1";"1";"39";;;"301";;;"5";"8";" 168";"1022";"7";"P";"73";;;;"S";"lw";" 300";"2000";;"C";"A";"52";"n";" 4";;"12";"5";" 6";"7";"6";"6";"X";" 5";"X";"?";"0";"0";;"9";"9";"9";"95";"912";;;;"H41";"H42";"H61";"H62";;;;;;;"2";"99";;;;"0";;;"I";;;;"b";"0";"2";"3";"+";"0";"0";"A";"*";".";".";"6";"E";;;;;;;"H";0
1021;"Prunus spinosa";"Sleedoorn";"L.";"Prunus spinosa L.";"PRUNUSPI";" 50";"21";" 6";" 2";"1";"1";"17";;;"  1";;;"8";"8";" 738";" 895";"7";"P";"73";;;"45";"S";"lw";" 150";" 300";;"C";"A";"52";"c";" 4";;"12";"4";" 5";"7";"7";"5";"4";" 7";"X";"X";"0";"0";"3";"9";"9";"9";"84";"805";"0";"34A";"84100";"H42";"H43";"H47";;;;;;;;"2";"11";"16";"30";;"0";;;"I";;;;"c";"+";"4";"4";"3";"4";"3";"A";".";"*";"*";"13";"X";"mo";;;;;;"H";0
1022;"Pteridium aquilinum";"Adelaarsvaren";"(L.) Kuhn";"Pteridium aquilinum (L.) Kuhn";"PTERIAQU";"  6";" 1";" 1";" 2";"1";"1";"1";" 564";" 718";"  1";;;"7";"8";;;"6";"G";"62";"31";;"50";"S";"vm";"  85";" 300";;"E";"O";"11";"o";"11";"22";;"7";" 8";"7";"6";"5";"3";" 5*";"3";"3";"0";"0";"3";"9";"9";"9";"95";"904";"4";"37A";"    0";"R64";"H61";;;;;;;;;"1";"16";;;;"0";;;"W";;;;"c";"2";"4";"4";"4";"3";"4";"E";"*";"*";"*";"1235";"X";"mo";;;;;;"H";0
1023;"Puccinellia distans subsp. distans";"Stomp kweldergras s.s.";;"Puccinellia distans subsp. distans ";"PUCCID-D";"126";" 8";" 3";" 4";"1";"1";"1";;;"  1";;;"6";"7";;;"6";"H";"54";;;"24";"W";"ly";"  15";"  50";;"C";"O";"31";"o";" 1";;"12   ?";"6";"13";"8";"8";"6";"6";" 6*";"7";"4";"7";"0";;"9";"9";"9";"32";"203";"0";"24Ac01";"26110";"bG20";;;;;;;;;;"1";"99";;;;"0";;;;;;;;;;;;;;;;;;;;"pl";;;;;;"H";0
1024;"Puccinellia fasciculata";"Blauw kweldergras";"(Torrey) E.P.Bicknell";"Puccinellia fasciculata (Torrey) E.P.Bicknell";"PUCCIFAS";"126";" 8";" 7";" 2";"1";"1";"1";"  18";"  92";"  1";;;"3";"4";;;"6";"H";"54";;;;;"ly";"  10";"  70";;"C";"O";"31";"o";" 1";;"01   ?";"6";" 7";"8";;;;;;;;;;"9";"9";"9";"32";"203";"0";"24Ac02";;"bG20";"zG20";;;;;;;;;"1";"99";;;;"0";;;"W";;;;"m";"0";"2";"0";"0";"0";"2";"A";".";"*";".";"6";"G";"pl";;;;;;"H";0
1025;"Puccinellia maritima";"Gewoon kweldergras";"(Hudson) Parlatore";"Puccinellia maritima (Hudson) Parlatore";"PUCCIMAR";"126";" 8";" 1";" 2";"1";"1";"1";" 232";" 209";"  1";;;"6";"6";;;"6";"H";"52";;;"24";"W";"ly";"  30";"  70";;"C";"O";"31";"o";" 1";;"01";"6";"13";"8";"9";"6";"3";" 8=";"7";"5";"8";"0";;"9";"9";"9";"32";"203";"2";"24Aa01";"26110";"zG20";;;;;;;;;;"1";"29";;;;"0";;;"W";;;;"c";"1";"4";"3";"0";"0";"2";"A";"*";"*";".";"3";"G";"pl";;;;;;"H";0
1027;"Puccinellia distans subsp. borealis";"Bleek kweldergras";"(Holmberg) W.E.Hughes";"Puccinellia distans subsp. borealis (Holmberg) W.E.Hughes";"PUCCID-B";"126";" 8";" 4";" 4";"1";"1";"1";;;"  1";;;"4";"4";;;"6";"H";"54";;;"24";"W";"ly";"  15";"  60";;"C";"O";"31";"o";" 1";;"01   ?";"6";"13";"8";"8";"6";"6";" 6*";"7";"4";"7";"0";;"9";"9";"9";"32";"203";"0";"24Ac30";"26110";"bG20";;;;;;;;;;"1";"99";;;;"0";"+";"4";;;;;;;;;;;;;;;;;;"pl";;;;;;"H";0
1028;"Puccinellia rupestris";"Dichtbloemig kweldergras";"(Withering) Fernald & Weatherby";"Puccinellia rupestris (Withering) Fernald & Weatherby";"PUCCIRUP";"126";" 8";" 6";" 2";"1";"1";"1";"  21";"   3";"  2";;;"3";"1";;;"1+2";"T";"51";;;;;"ly";"  10";"  50";;"C";"O";"31";"o";;;"12   ?";"6";" 8";"8";;;;;;;;;;"9";"9";"9";"32";"203";"0";"24Aa01";;"bG40";;;;;;;;;;"1";"99";;;;"0";"+";"1";"W";;;;"m";"0";"2";"0";"0";"0";"+";"A";".";"*";".";"6";"GM";"pl";;;;;;"H";0
1029;"Pulicaria dysenterica";"Heelblaadjes";"(L.) Bernhardi";"Pulicaria dysenterica (L.) Bernhardi";"PULICDYS";"113";"11";" 2";" 2";"1";"1";"1";" 583";" 619";"  1";;;"7";"7";;;"6";"H";"65";;;"25";"W";"lw";"  60";"  90";;"D";"F";"32";"o";" 8";"33";"32/22?";"7";" 9";"4";"8";"6";"3";" 7*";"7";"5";"0";"0";"3";"9";"9";"9";"21";"503";"0";"16Ab";"37210";"G27";"bG20";"R27";;;;;;;;"2";"99";;;;"0";;;"I";;;;"s";"0";"4";"3";"+";"3";"4";"A";".";"*";"*";"3";"X";"mo";;;;;;"H";0
1030;"Pulicaria vulgaris";"Vlooienkruid";"Gaertner";"Pulicaria vulgaris Gaertner";"PULICVUL";"113";"11";" 1";" 2";"1";"1";"1";"  30";"  14";"  1";;;"3";"3";;;"1";"T";"65";;;;"S";"lc";"  10";"  40";;"D";"F";"32";"o";" 8";;"32";"7";" 9";"2";"9";"6";"?";" 8=";"6";"7";"1";"0";;"9";"9";"9";"23";"309";"0";"10Aa06";;"P28";;;;;;;;;;"1";"99";;;;"0";;"3";"I";;;;"m";"0";"2";"4";"2";"3";"3";"A";".";"*";"*";"3";"IM";"co";;;;;;"H";0
1031;"Pulmonaria montana";"Smal longkruid";"Lejeune";"Pulmonaria montana Lejeune";"PULMOMON";" 98";" 4";" 1";" 2";"1";"1";"1";"   1";"   1";"  2";;;"1";"0";;;"6";"H";"64";;;"40";"W";"lc";"  10";"  20";"  50";"C";"R/C";"41";"o";"10";;;"3";" 5";"7";"5";"7";"4";" 5*";"6";"3";"0";"0";;"9";"9";"9";"92";"905";;;"84210";;;;;;;;;;;;"99";;;;"0";"+";"0";"IH";;;;"m";"0";"1";"1";"0";"0";"0";"A";".";"*";".";"1";"AFLM";"mo";;;;;;"H";0
1032;"Pulmonaria officinalis";"Gevlekt longkruid";"L.";"Pulmonaria officinalis L.";"PULMOOFF";" 98";" 4";" 2";" 2";"1";"1";"14";"  68";"  69";"  1";;;"4";"4";;;"6";"H";"64";;;"34";"W";"ro";"  10";"  30";;"C";"R/P";"41";"o";"10";;;"3";" 5";"7";"5";"6";"5";" 5";"8";"6";"0";"0";;"9";"9";"9";"94";"909";;;"84300";"H43";"H47";;;;;;;;;"1";"16";;;;"0";"+c";"1";"I2";;;;"s";"1";"+";"4";"4";"1";"0";"A";".";"*";"*";"13";"BDM";"mo";;;;;;"H";0
1033;"Pyrola minor";"Klein wintergroen";"L.";"Pyrola minor L.";"PYROLMIN";" 84";" 1";" 2";" 2";"1";"1";"1";" 155";"  77";"  1";;;"5";"4";;;"6";"H";"63";;;"50";"W";"ro";"   5";"  20";;"C";"A/R";"43";"o";"11";"12";;"5";" 8";"5";"6";"X";"X";" 5";"3";"2";"0";"0";;"9";"9";"9";"95";"902";"4";"36A";"73100";"G42";"H42";;;;;;;;;"1";"99";;;;"0";;"3";"ID";"IH";;"Z";"c";"4";"3";"4";"3";"1";"1";"A";"*";"*";"*";"135";"M";"al";;;;;;"H";0
1034;"Pyrola rotundifolia";"Rond wintergroen";"L.";"Pyrola rotundifolia L.";"PYROLROT";" 84";" 1";" 1";" 2";"1";"1";"1";" 176";"  99";"  1";;;"5";"4";;;"6";"H";"63";;;"45";"W";"ro";"  10";"  35";;"C";"A/R";"43";"o";"11";"22";;"5";"10";"5";"4";"X";"5";" 6";"5";"3";"0";"0";;"9";"9";"9";"71";"902";"0";"34Ac01";"73100";"G42";"H42";;;;;;;;;"1";"99";;;;"0";;"3";"ID";"IH";;"Z";"s";"4";"2";"4";"4";"1";"+";"A";"*";"*";"*";"134";"HM";"sa";;;;;;"H";0
1035;"Pyrus communis";"Peer";"L.";"Pyrus communis L.";"PYRUSCOM";" 50";"13";" 1";" 2";"1";"1";"18";"  45";" 135";"  1";;;"4";"5";;;"7";"P";"81";;;"40";"S";"ro";" 600";"1800";;"C";"A";"53";"v";" 4";;"12";"4";" 5";"7";"6";"6";"5";" 5";"8";"X";"0";"0";;"9";"9";"9";"84";"912";"0";"34Ab04";"    0";"H47";;;;;;;;;;"1";"11";"30";"24";;"0";;;"I";;;;"s";"0";"3";"4";"3";"4";"2";"A";".";"*";"*";"1";"X";"mo";;;;;;"H";0
1036;"Quercus petraea";"Wintereik";"(Mattuschka) Lieblein";"Quercus petraea (Mattuschka) Lieblein";"QUERCPET";" 24";" 3";" 5";" 2";"1";"1";"19";;;"  1";;;"6";"6";" 103";" 268";"7";"P";"82";;;"40";"S";"ve";"1500";"3000";;"A";"O";"32";"o";" 4";;"12";"5";" 5";"7";"6";"6";"2";" 5";"X";"X";"0";"0";;"9";"9";"9";"95";"904";"2";"37Aa02";"80000";"H42";"H62";;;;;;;;;"1";"16";"22";"24";"26";"0";;;"W";;;;"c";"0";"4";"4";"+";"1";"1";"A";".";"*";".";"123";"X";"sm";;;;;;"H";0
1037;"Quercus robur";"Zomereik";"L.";"Quercus robur L.";"QUERCROB";" 24";" 3";" 4";" 2";"1";"1";"19";;;"  1";;;"9";"9";"1055";"1325";"7";"P";"82";;;"40";"S";"ve";"1500";"3000";;"A";"O";"32";"o";" 4";;"12";"5";" 5";"7";"7";"6";"6";"X";"X";"X";"0";"0";;"9";"9";"9";"92";"905";;;"80000";"H41";"H42";"H43";"H47";"H48";"H61";"H62";"H63";"H69";;"2";"16";"22";"24";"26";"0";;;"W";;;;"c";"0";"4";"4";"4";"2";"1";"A";".";"*";".";"123";"X";"sm";;;;;;"H";0
1038;"Radiola linoides";"Dwergvlas";"Roth";"Radiola linoides Roth";"RADIOLIN";" 55";" 2";" 1";" 2";"1";"1";"1";" 430";"  66";"  1";;;"7";"4";;;"1";"T";"65";;;"24";"S";"ro";"   2";"  10";;"C";"A";"43";"o";" 1";;"12/31";"6";" 9";"4";"8";"6";"3";" 7=";"3";"2";"0";"0";;"9";"9";"9";"23";"308";"8";"10Aa01";"31110";"P42";;;;;;;;;;"1";"99";;;;"0";;"2";"I";;;"Z";"c";"0";"4";"4";"1";"1";"2";"A";"*";"*";"*";"13";"KM";"mo";;;;;;"H";0
1039;"Orthilia secunda";"Eenzijdig wintergroen";"(L.) House";"Orthilia secunda (L.) House";"ORTHISEC";" 84";" 2";" 1";" 2";"1";"1";"1";"   2";"   0";"  2";;;"0";"0";;;"6";"CH";"63";;;"50";"I";"ro";"   7";"  15";;"C";"A:V";"43";"o";" 1";;;" 6";" 7";"7";"4";"X";"3";" 5";"X";"2";"0";"0";;"9";"9";"9";"95";"902";;;"73100";;;;;;;;;;;;"99";;;;"0";;"0";"I";;;"Z";"m";"4";"1";"4";"4";"1";"1";"A";"*";"*";"*";"135";"LM";"sa";;;;;;"H";0
1040;"Ranunculus acris";"Scherpe boterbloem";"L.";"Ranunculus acris L.";"RANUNACR";" 40";"12";"16";" 2";"1";"1";"1";"1653";"1566";"  1";;;"9";"9";;;"6";"H";"64";;;"40";"S";"ha";"  30";"  90";;"C";"F";"32";"o";" 1";"23";"22";"4";"13";"9";"7";"X";"6";"X";"X";"X";"0";"0";"6";"9";"9";"9";"51";"611";"3";"25Ba";"54000";"G47";"G48";;;;;;;;;"1";"99";;;;"0";;;"I*";;;"Z";"c";"4";"4";"4";"4";"2";"1";"A";".";"*";"*";"1235";"X";"al";;;;;;"H";3
1041;"Ranunculus aquatilis";"Fijne waterranonkel";"L.";"Ranunculus aquatilis L.";"RANUNAQU";" 40";"12";"26";" 2";"1";"1";"1";;;"  1";;;"6";"6";;;"6";"A";"14";;;"10";"W";"vs";"  10";" 300";;"C";"A+F";"32";"o";" 1";;"22/32";"5";" 8";"1";"7";"5";"2";"11";"6";"6";"0";"0";;"1";"5";"0";"41";"  2";"0";"05Bc";"13120";"W13";"W17d";;;;;;;;;"1";"99";;;;"0";;;"I";"K";;"Z";"c";"+";"4";"4";"1";"1";"1";"B";"*";"*";"*";"123";"AC";"al";;;;;;"H";0
1042;"Ranunculus arvensis";"Akkerboterbloem";"L.";"Ranunculus arvensis L.";"RANUNARV";" 40";"12";" 7";" 2";"1";"1";"12";" 246";"  40";"  1";;;"6";"2";;;"1+8";"T";"64";;;"40";"V";"ve";"  20";"  60";;"C";"F:V";"32";"o";" 6";;"12";"5";" 7";"7";"6";"6";"3";" 4";"8";"X";"0";"0";;"9";"9";"9";"12";"304";"0";"13";"34000";"P47k";;;;;;;;;;"1";"99";;;;"0";"+";"1";"I";;;"Z";"s";"+";"3";"4";"+";"3";"4";"A";".";"*";"*";"123";"M";"sm";;;;;;"H";0
1043;"Ranunculus auricomus";"Gulden boterbloem";"L.";"Ranunculus auricomus L.";"RANUNAUR";" 40";"12";"15";" 2";"1";"1";"1";" 160";" 156";"  1";;;"5";"5";;;"6";"H";"64";;;"40";"S";"ha";"  15";"  50";;"C";"F";"32";"o";"10";;"12";"4";" 5";"5";"5";"6";"3";"X";"7";"X";"0";"0";"5";"9";"9";"9";"92";"907";"0";"38A";"    0";"G27";"H27";"H43";"H47";;;;;;;"2";"99";;;;"0";;;"I";"A";;"Z";"c";"3";"4";"4";"4";"2";"1";"A";".";"*";"*";"123";"X";"sa";;;;;;"H";0
1044;"Ranunculus baudotii";"Zilte waterranonkel";"Godron";"Ranunculus baudotii Godron";"RANUNBAU";" 40";"12";"22";" 2";"1";"1";"1";" 135";"  83";"  1";;;"5";"5";;;"6";"A";"14";;;;;"vs";"  15";"  80";;"C";"A+F";"32";"o";" 1";;"12   ?";"5";" 8";"8";"8";"6";"X";"10";"9";"7";"6";"0";;"1";"2";"0";"41";"  8";"2";"05Bc02";;"bW10";;;;;;;;;;"1";"99";;;;"0";;;"I";;;"Z";"c";"1";"3";"3";"0";"0";"1";"A";".";"*";".";"23";"G";"pl";"7";"6";"4";"5";"6";"H";0
1045;"Ranunculus bulbosus";"Knolboterbloem";"L.";"Ranunculus bulbosus L.";"RANUNBUL";" 40";"12";" 9";" 2";"1";"1";"1";" 640";" 701";"  1";;;"7";"7";;;"6";"HG";"64";;;"40";"V";"ha";"  15";"  50";;"C";"F";"32";"o";" 1";"33";"12   ?";"4";" 6";"7";"8";"6";"3";" 3";"7";"3";"0";"0";"6";"9";"9";"9";"62";"607";;;"53213";"G43";"G47";"G63";"G67";;;;;;;"2";"99";;;;"0";;;"I*";;;"Z";"c";"+";"4";"4";"+";"3";"3";"A";".";"*";".";"123";"X";"al";;;;;;"H";0
1046;"Ranunculus circinatus";"Stijve waterranonkel";"Sibthorp";"Ranunculus circinatus Sibthorp";"RANUNCIR";" 40";"12";"18";" 2";"1";"1";"1";" 404";" 673";"  1";;;"6";"7";;;"6";"A";"13";;;"10";"W";"vs";"  30";" 100";;"C";"A";"32";"o";" 1";;"32   ?";"6";" 8";"1";"6";"6";"5";"12";"7";"8";"1";"0";;"1";"1";"2";"41";"  2";"2";"05Ba09";"13100";"W17";"W18";;;;;;;;;"1";"99";;;;"0";;;"I1";;;"Z";"s";"1";"3";"4";"4";"1";"+";"A";"*";"*";"*";"23";"X";"sm";"5";"5";"1";"4";"5";"H";0
1047;"Ranunculus ficaria subsp. bulbilifer";"Gewoon speenkruid";"(L.) Lambinon";"Ranunculus ficaria subsp. bulbilifer (L.) Lambinon";"RANUNF-B";" 40";"12";" 3";" 4";"1";"1";"1";" 834";"1304";"  1";;;"8";"9";;;"6";"G";"64";;;"30";"V";"ro";"   5";"  30";;"C";"F";"32";"o";"10";;"12";"3";" 5";"5";"4";"5";"3";" 6";"7";"7";"0";"0";"7";"9";"9";"9";"92";"907";"0";"38";"    0";"G48";"H47";"H48";;;;;;;;"2";"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
1048;"Ranunculus flammula";"Egelboterbloem";"L.";"Ranunculus flammula L.";"RANUNFLA";" 40";"12";" 6";" 2";"1";"1";"1";"1096";"1039";"  1";;;"8";"8";;;"6";"BH";"61";;;"20";"S";"lc";"  10";"  45";"  70";"C";"F";"32";"o";" 1";"22";"01";"6";"10";"2";"7";"X";"3";" 9*";"3";"2";"1";"0";"4";"1";"3";"0";"71";"701";"3";"27Aa";"17120";"G22";"G23";"G27";;;;;;;;"2";"99";;;;"0";;;"I1";;;"Z";"c";"2";"4";"4";"4";"1";"2";"A";".";"*";".";"1234";"X";"sa";"3";"4";"3";"1";"3";"H";0
