"originalna";"id";"speciesnam";"vaatplant";"is_gras";"is_boomstruik";"is_dwergstruik";"is_hogeplant";"is_meerjarigkruid";"is_schijngras";"is_jarig";"is_invasieveexoot";"is_mos";"is_lichen";"is_kranswier";"link_bbr";"link_bryoatt";"link_hill";"hoogte_max";"is_bossoort";"l_waarde";"genus_ori";"species_ori";"subspecies_ori";"genus";"species";"subspecies";"specieszonderauteur_ori";"specieszonderauteur";"L_getal";"R_getal";"F_getal";"N_getal";"S_getal";"taxontype_ID"
"Fallopia convolvulus (L.) Á. Löve";1760;"Fallopia convolvulus (L.) Á. Löve";1;0;0;0;0;0;0;1;0;0;0;0;970;;630;100;0;7;"Fallopia ";"convolvulus";;"Fallopia ";"convolvulus";;"Fallopia convolvulus";"Fallopia convolvulus";7;7;4;5;0;9
"Fallopia dumetorum (L.) Holub";1761;"Fallopia dumetorum (L.) Holub";1;0;0;0;1;0;0;1;0;0;0;0;971;;631;200;0;6;"Fallopia ";"dumetorum";;"Fallopia ";"dumetorum";;"Fallopia dumetorum";"Fallopia dumetorum";6;6;5;7;0;9
"Festuca lemanii Bast.";1762;"Festuca lemanii Bast.";1;1;0;0;0;0;0;0;0;0;0;0;;;641;;0;8;"Festuca ";"lemanii";;"Festuca ";"lemanii";;"Festuca lemanii";"Festuca lemanii";8;7;4;2;0;9
"Gentianella uliginosa (Willd.) Börner";1763;"Gentianella uliginosa (Willd.) Börner";1;0;0;0;0;1;0;0;0;0;0;0;562;;712;30;0;8;"Gentianella ";"uliginosa";;"Gentianella ";"uliginosa";;"Gentianella uliginosa";"Gentianella uliginosa";8;7;8;2;0;9
"Helianthemum nummularium subsp. obscurum (Celak.) Holub";1764;"Helianthemum nummularium (L.) Mill. subsp. obscurum (Čelak.) Holub";1;0;0;1;0;1;0;0;0;0;0;0;600;;;40;0;7;"Helianthemum ";"nummularium";"subsp. obscurum";"Helianthemum ";"nummularium";"subsp. obscurum";"Helianthemum nummularium subsp. obscurum";"Helianthemum nummularium subsp. obscurum";7;7;3;1;0;22
"Hieracium lachenalii C.C. Gmel.";1765;"Hieracium lachenalii C.C. Gmel.";1;0;0;0;0;1;0;0;0;0;0;0;617;;1795;60;1;5;"Hieracium ";"lachenalii";;"Hieracium ";"lachenalii";;"Hieracium lachenalii";"Hieracium lachenalii";5;4;4;2;0;9
"Hyacinthoides non-scripta (L.) Chouard ex Rothm.";1766;"Hyacinthoides non-scripta (L.) Chouard ex Rothm.";1;0;0;0;0;1;0;0;0;0;0;0;1151;;785;50;1;5;"Hyacinthoides ";"non-scripta";;"Hyacinthoides ";"non-scripta";;"Hyacinthoides non-scripta";"Hyacinthoides non-scripta";5;5;5;6;0;9
"Lamium galeobdolon (L.) L.";1767;"Lamium galeobdolon (L.) L.";1;0;0;0;0;1;0;0;0;0;0;0;702;;867;60;1;4;"Lamium ";"galeobdolon";;"Lamium ";"galeobdolon";;"Lamium galeobdolon";"Lamium galeobdolon";4;7;5;6;0;9
"Odontites vernus subsp. serotinus Corb.";1768;"Odontites vernus (Bellardi) Dum. subsp. serotinus Corb.";1;0;0;0;0;0;0;1;0;0;0;0;509;;;85;0;6;"Odontites ";"vernus";"subsp. serotinus";"Odontites ";"vernus";"subsp. serotinus";"Odontites vernus subsp. serotinus";"Odontites vernus subsp. serotinus";6;7;5;5;1;22
"Oenothera";1769;"Oenothera";1;0;0;0;1;1;0;0;1;0;0;0;6371;;;;0;;"Oenothera";;;"Oenothera";;;"Oenothera";"Oenothera";;;;;;12
"Pinus nigra subsp. laricio Maire";1770;"Pinus nigra Arnold subsp. laricio Maire";1;0;1;0;0;0;0;0;0;0;0;0;2247;;;3000;0;7;"Pinus ";"nigra";"subsp. laricio";"Pinus ";"nigra";"subsp. laricio";"Pinus nigra subsp. laricio";"Pinus nigra subsp. laricio";7;9;3;2;0;22
"Poa pratensis subsp. latifolia (Weihe) Schübl. et Martens";1771;"Poa pratensis L. subsp. latifolia (Weihe) Schübl. et Martens";1;1;0;0;0;0;0;0;0;0;0;0;;;;90;0;;"Poa ";"pratensis";"subsp. latifolia";"Poa ";"pratensis";"subsp. latifolia";"Poa pratensis subsp. latifolia";"Poa pratensis subsp. latifolia";;;;;;22
"Potentilla neumanniana Reichenb.";1772;"Potentilla neumanniana Reichenb.";1;0;0;0;0;1;0;0;0;0;0;0;1013;;1285;15;0;7;"Potentilla ";"neumanniana";;"Potentilla ";"neumanniana";;"Potentilla neumanniana";"Potentilla neumanniana";7;8;3;1;0;9
"Ranunculus serpens subsp. nemorosus (DC.) G. López";1773;"Ranunculus serpens Schrank subsp. nemorosus (DC.) G. López";1;0;0;0;0;1;0;0;0;0;0;0;2404;;;90;1;6;"Ranunculus ";"serpens";"subsp. nemorosus";"Ranunculus ";"serpens";"subsp. nemorosus";"Ranunculus serpens subsp. nemorosus";"Ranunculus serpens subsp. nemorosus";6;6;5;;0;22
"Ranunculus serpens subsp. polyanthemoides (Boreau) Kerguélen et Lambinon";1774;"Ranunculus serpens Schrank subsp. polyanthemoides (Boreau) Kerguélen et Lambinon";1;0;0;0;0;1;0;0;0;0;0;0;1512;;;90;1;6;"Ranunculus ";"serpens";"subsp. polyanthemoides";"Ranunculus ";"serpens";"subsp. polyanthemoides";"Ranunculus serpens subsp. polyanthemoides";"Ranunculus serpens subsp. polyanthemoides";6;;;2;0;22
"Salix repens subsp. dunensis Rouy";1775;"Salix repens L. subsp. dunensis Rouy";1;0;0;1;0;0;0;0;0;0;0;0;;;;100;0;;"Salix ";"repens";"subsp. dunensis";"Salix ";"repens";"subsp. dunensis";"Salix repens subsp. dunensis";"Salix repens subsp. dunensis";;;;;;22
"Salix x sericans Tausch ex. A. Kerner";1776;"Salix x sericans Tausch ex. A. Kerner";1;0;1;0;0;0;0;0;0;0;0;0;5138;;;900;0;;"Salix ";"x sericans";;"Salix ";"x sericans";;"Salix x sericans";"Salix x sericans";;;;;;18
"Spartina maritima (Curt.) Fernald";1777;"Spartina maritima (Curt.) Fernald";1;0;0;0;0;1;0;0;0;0;0;0;1232;;1585;50;0;9;"Spartina ";"maritima";;"Spartina ";"maritima";;"Spartina maritima";"Spartina maritima";9;8;9;5;6;9
"Stellaria media subsp. neglecta (Weihe) Gremli";1778;"Stellaria media (L.) Vill. subsp. neglecta (Weihe) Gremli";1;0;0;0;0;0;0;1;0;0;0;0;1251;;1605;80;0;6;"Stellaria ";"media";"subsp. neglecta";"Stellaria ";"media";"subsp. neglecta";"Stellaria media subsp. neglecta";"Stellaria media subsp. neglecta";6;6;7;7;0;22
"Valeriana wallrothii Kreyer";1779;"Valeriana wallrothii Kreyer";1;0;0;0;0;1;0;0;0;0;0;0;;;;;0;;"Valeriana ";"wallrothii";;"Valeriana ";"wallrothii";;"Valeriana wallrothii";"Valeriana wallrothii";;;;;;9
"Veronica anagallis-aquatica subsp. aquatica Nyman";1780;"Veronica anagallis-aquatica L. subsp. aquatica Nyman";1;0;0;0;0;1;0;0;0;0;0;0;1350;;1732;60;0;8;"Veronica ";"anagallis-aquatica";"subsp. aquatica";"Veronica ";"anagallis-aquatica";"subsp. aquatica";"Veronica anagallis-aquatica subsp. aquatica";"Veronica anagallis-aquatica subsp. aquatica";8;7;10;8;0;22
"Vicia sativa L. subsp. segetalis (Thuill.) Gaudin";1781;"Vicia sativa L. subsp. segetalis (Thuill.) Gaudin";1;0;0;0;0;0;0;1;0;0;0;0;;;;90;0;;"Vicia ";"sativa";"subsp. segetalis";"Vicia ";"sativa";"subsp. segetalis";"Vicia sativa subsp. segetalis";"Vicia sativa subsp. segetalis";;;;;;22
"Zannichellia palustris subsp. pedicellata (Wahlenb. et Rosén) Hegi";1782;"Zannichellia palustris L. subsp. pedicellata (Wahlenb. et Rosén) Hegi";1;0;0;0;0;1;0;0;0;0;0;0;1397;;;50;0;6;"Zannichellia ";"palustris";"subsp. pedicellata";"Zannichellia ";"palustris";"subsp. pedicellata";"Zannichellia palustris subsp. pedicellata";"Zannichellia palustris subsp. pedicellata";6;8;12;8;5;22
"Zostera noltii Hornem.";1783;"Zostera noltii Hornem.";1;0;0;0;0;0;1;0;0;0;0;0;1399;;1791;25;0;8;"Zostera ";"noltii";;"Zostera ";"noltii";;"Zostera noltii";"Zostera noltii";8;8;12;5;8;9
"Reseda lutea L.";1784;"Reseda lutea L.";1;0;0;0;0;1;0;0;0;0;0;0;1062;;1353;60;0;7;"Reseda ";"lutea";;"Reseda ";"lutea";;"Reseda lutea";"Reseda lutea";7;7;4;5;0;9
"Catabrosa aquatica (L.) Beauv.";1785;"Catabrosa aquatica (L.) Beauv.";1;1;0;0;0;0;0;0;0;0;0;0;274;;324;70;0;8;"Catabrosa ";"aquatica";;"Catabrosa ";"aquatica";;"Catabrosa aquatica";"Catabrosa aquatica";8;7;9;7;1;9
"Sesleria caerulea (L.) Ard.";1786;"Sesleria caerulea (L.) Ard.";1;1;0;0;0;0;0;0;0;0;0;0;1194;;1520;50;0;7;"Sesleria ";"caerulea";;"Sesleria ";"caerulea";;"Sesleria caerulea";"Sesleria caerulea";7;8;6;2;0;9
"Galium pumilum Murray";1787;"Galium pumilum Murray";1;0;0;0;0;1;0;0;0;0;0;0;553;;691;30;0;7;"Galium ";"pumilum";;"Galium ";"pumilum";;"Galium pumilum";"Galium pumilum";7;8;4;3;0;9
"Arabis hirsuta (L.) Scop.";1788;"Arabis hirsuta (L.) Scop.";1;0;0;0;0;1;0;0;0;0;0;0;2333;;2;90;0;7;"Arabis ";"hirsuta";;"Arabis ";"hirsuta";;"Arabis hirsuta";"Arabis hirsuta";7;8;5;3;0;9
"Viola lactea Smith";1789;"Viola lactea Smith";1;0;0;0;0;1;0;0;0;0;0;0;1389;;1768;20;0;7;"Viola ";"lactea";;"Viola ";"lactea";;"Viola lactea";"Viola lactea";7;2;6;2;0;9
"Euphorbia cyparissias L.";1790;"Euphorbia cyparissias L.";1;0;0;0;0;1;0;0;0;0;0;0;492;;594;30;0;8;"Euphorbia ";"cyparissias";;"Euphorbia ";"cyparissias";;"Euphorbia cyparissias";"Euphorbia cyparissias";8;7;3;3;0;9
"Rumex thyrsiflorus Fingerh.";1791;"Rumex thyrsiflorus Fingerh.";1;0;0;0;1;1;0;0;0;0;0;0;1106;;;100;0;8;"Rumex ";"thyrsiflorus";;"Rumex ";"thyrsiflorus";;"Rumex thyrsiflorus";"Rumex thyrsiflorus";8;7;;4;0;9
"Rhinanthus alectorolophus (Scop.) Pollich";1792;"Rhinanthus alectorolophus (Scop.) Pollich";1;0;0;0;0;0;0;1;0;0;0;0;1065;;;80;0;8;"Rhinanthus ";"alectorolophus";;"Rhinanthus ";"alectorolophus";;"Rhinanthus alectorolophus";"Rhinanthus alectorolophus";8;7;4;3;0;9
"Herniaria glabra L.";1793;"Herniaria glabra L.";1;0;0;0;0;1;0;0;0;0;0;0;609;;762;30;0;8;"Herniaria ";"glabra";;"Herniaria ";"glabra";;"Herniaria glabra";"Herniaria glabra";8;6;5;2;0;9
"Eryngium campestre L.";1794;"Eryngium campestre L.";1;0;0;0;0;1;0;0;0;0;0;0;485;;587;60;0;9;"Eryngium ";"campestre";;"Eryngium ";"campestre";;"Eryngium campestre";"Eryngium campestre";9;8;3;3;0;9
"Bromus inermis Leyss.";1795;"Bromus inermis Leyss.";1;1;0;0;0;0;0;0;0;0;0;0;159;;196;100;0;8;"Bromus ";"inermis";;"Bromus ";"inermis";;"Bromus inermis";"Bromus inermis";8;8;4;5;0;9
"Allium oleraceum L.";1796;"Allium oleraceum L.";1;0;0;0;0;1;0;0;0;0;0;0;31;;62;80;0;7;"Allium ";"oleraceum";;"Allium ";"oleraceum";;"Allium oleraceum";"Allium oleraceum";7;7;5;4;0;9
"Geranium rotundifolium L.";1797;"Geranium rotundifolium L.";1;0;0;0;0;0;0;1;0;0;0;0;577;;722;40;0;7;"Geranium ";"rotundifolium";;"Geranium ";"rotundifolium";;"Geranium rotundifolium";"Geranium rotundifolium";7;7;4;6;0;9
"Lepidium heterophyllum Benth.";1798;"Lepidium heterophyllum Benth.";1;0;0;0;0;1;0;0;0;0;0;0;1701;;901;50;0;7;"Lepidium ";"heterophyllum";;"Lepidium ";"heterophyllum";;"Lepidium heterophyllum";"Lepidium heterophyllum";7;5;4;4;0;9
"Allium scorodoprasum L.";1799;"Allium scorodoprasum L.";1;0;0;0;0;1;0;0;0;0;0;0;33;;66;100;0;6;"Allium ";"scorodoprasum";;"Allium ";"scorodoprasum";;"Allium scorodoprasum";"Allium scorodoprasum";6;7;6;7;0;9
"Galeopsis angustifolia Ehrh. ex Hoffmann";1800;"Galeopsis angustifolia Ehrh. ex Hoffmann";1;0;0;0;0;0;0;1;0;0;0;0;539;;677;50;0;8;"Galeopsis ";"angustifolia";;"Galeopsis ";"angustifolia";;"Galeopsis angustifolia";"Galeopsis angustifolia";8;8;2;4;0;9
"Sedum rupestre L.";1801;"Sedum rupestre L.";1;0;0;0;0;1;0;0;0;0;0;0;1180;;1499;30;0;7;"Sedum ";"rupestre";;"Sedum ";"rupestre";;"Sedum rupestre";"Sedum rupestre";7;5;2;4;0;9
"Sedum sexangulare L.";1802;"Sedum sexangulare L.";1;0;0;0;0;1;0;0;0;0;0;0;1181;;;10;0;7;"Sedum ";"sexangulare";;"Sedum ";"sexangulare";;"Sedum sexangulare";"Sedum sexangulare";7;6;2;1;0;9
"Saponaria officinalis L.";1803;"Saponaria officinalis L.";1;0;0;0;0;0;0;0;0;0;0;0;1139;;1453;70;0;8;"Saponaria ";"officinalis";;"Saponaria ";"officinalis";;"Saponaria officinalis";"Saponaria officinalis";8;6;5;6;0;9
"Ophrys insectifera L.";1804;"Ophrys insectifera L.";1;0;0;0;0;1;0;0;0;0;0;0;881;;1103;50;0;8;"Ophrys ";"insectifera";;"Ophrys ";"insectifera";;"Ophrys insectifera";"Ophrys insectifera";8;9;5;2;0;9
"Orchis purpurea Huds.";1805;"Orchis purpurea Huds.";1;0;0;0;0;1;0;0;0;0;0;0;891;;1109;75;1;5;"Orchis ";"purpurea";;"Orchis ";"purpurea";;"Orchis purpurea";"Orchis purpurea";5;8;4;3;0;9
"Orchis simia Lam.";1806;"Orchis simia Lam.";1;0;0;0;0;1;0;0;0;0;0;0;892;;1110;40;0;8;"Orchis ";"simia";;"Orchis ";"simia";;"Orchis simia";"Orchis simia";8;8;3;2;0;9
"Platanthera chlorantha (Cust.) Reichenb.";1807;"Platanthera chlorantha (Cust.) Reichenb.";1;0;0;0;0;1;0;0;0;0;0;0;951;;1215;45;0;5;"Platanthera ";"chlorantha";;"Platanthera ";"chlorantha";;"Platanthera chlorantha";"Platanthera chlorantha";5;7;5;4;0;9
"Cuscuta europaea L.";1808;"Cuscuta europaea L.";1;0;0;0;1;0;0;1;0;0;0;0;380;;451;150;0;6;"Cuscuta ";"europaea";;"Cuscuta ";"europaea";;"Cuscuta europaea";"Cuscuta europaea";6;6;7;7;0;9
"Sisymbrium altissimum L.";1809;"Sisymbrium altissimum L.";1;0;0;0;0;1;0;1;0;0;0;0;1208;;1540;90;0;8;"Sisymbrium ";"altissimum";;"Sisymbrium ";"altissimum";;"Sisymbrium altissimum";"Sisymbrium altissimum";8;6;5;4;0;9
"Malva neglecta Wallr.";1810;"Malva neglecta Wallr.";1;0;0;0;0;0;0;1;0;0;0;0;790;;995;40;0;7;"Malva ";"neglecta";;"Malva ";"neglecta";;"Malva neglecta";"Malva neglecta";7;8;4;7;0;9
"Melilotus altissimus Thuill.";1811;"Melilotus altissimus Thuill.";1;0;0;0;1;1;0;0;0;0;0;0;810;;1016;150;0;8;"Melilotus ";"altissimus";;"Melilotus ";"altissimus";;"Melilotus altissimus";"Melilotus altissimus";8;7;6;7;0;9
"Koeleria albescens DC.";1812;"Koeleria albescens DC.";1;1;0;0;0;0;0;0;0;0;0;0;;;;80;0;;"Koeleria ";"albescens";;"Koeleria ";"albescens";;"Koeleria albescens";"Koeleria albescens";;;;;;9
"Syntrichia ruralis var. arenicola (Braithw.) J.J. Amann";1813;"Syntrichia ruraliformis (Besch.) Cardot";0;0;0;0;0;0;0;0;0;1;0;0;3066;1077;;;0;9;"Syntrichia ";"ruralis";"var. arenicola";"Syntrichia ";"ruraliformis";;"Syntrichia ruralis var. arenicola";"Syntrichia ruraliformis";8;7;3;3;2;9
"Fallopia x bohemica (Chrtek et Chrtková) J.P. Bailey";1814;"Fallopia x bohemica (Chrtek et Chrtková) J.P. Bailey";1;0;0;0;1;1;0;0;1;0;0;0;;;;300;0;;"Fallopia ";"x bohemica";;"Fallopia ";"x bohemica";;"Fallopia x bohemica";"Fallopia x bohemica";;;;;;18
"Hypericum hirsutum L.";1815;"Hypericum hirsutum L.";1;0;0;0;0;1;0;0;0;0;0;0;645;;796;100;0;6;"Hypericum ";"hirsutum";;"Hypericum ";"hirsutum";;"Hypericum hirsutum";"Hypericum hirsutum";6;7;5;5;0;9
"Cephalanthera damasonium (Mill.) Druce";1816;"Cephalanthera damasonium (Mill.) Druce";1;0;0;0;0;1;0;0;0;0;0;0;289;;337;60;1;4;"Cephalanthera ";"damasonium";;"Cephalanthera ";"damasonium";;"Cephalanthera damasonium";"Cephalanthera damasonium";4;7;4;5;0;9
"Epipactis muelleri Godf.";1817;"Epipactis muelleri Godf.";1;0;0;0;0;1;0;0;0;0;0;0;1423;;;50;0;7;"Epipactis ";"muelleri";;"Epipactis ";"muelleri";;"Epipactis muelleri";"Epipactis muelleri";7;8;3;3;0;9
"Rubus spectabilis Pursh";1818;"Rubus spectabilis Pursh";1;0;0;0;1;1;0;0;0;0;0;0;5133;;1392;200;1;6;"Rubus ";"spectabilis";;"Rubus ";"spectabilis";;"Rubus spectabilis";"Rubus spectabilis";6;5;6;5;0;9
"Arctium tomentosum Mill.";1819;"Arctium tomentosum Mill.";1;0;0;0;1;1;0;0;0;0;0;0;87;;;100;0;8;"Arctium ";"tomentosum";;"Arctium ";"tomentosum";;"Arctium tomentosum";"Arctium tomentosum";8;8;5;9;0;9
"Dipsacus pilosus L.";1820;"Dipsacus pilosus L.";1;0;0;0;1;1;0;0;0;0;0;0;411;;495;120;0;7;"Dipsacus ";"pilosus";;"Dipsacus ";"pilosus";;"Dipsacus pilosus";"Dipsacus pilosus";7;8;6;7;0;9
"Fragaria moschata Weston";1821;"Fragaria moschata Weston";1;0;0;0;0;1;0;0;0;0;0;0;528;;;40;1;6;"Fragaria ";"moschata";;"Fragaria ";"moschata";;"Fragaria moschata";"Fragaria moschata";6;6;5;6;0;9
"Parietaria officinalis L.";1822;"Parietaria officinalis L.";1;0;0;0;0;1;0;0;0;0;0;0;918;;;120;0;5;"Parietaria ";"officinalis";;"Parietaria ";"officinalis";;"Parietaria officinalis";"Parietaria officinalis";5;7;5;7;0;9
"Sison amomum L.";1823;"Sison amomum L.";1;0;0;0;0;1;0;0;0;0;0;0;;;1539;;0;7;"Sison ";"amomum";;"Sison ";"amomum";;"Sison amomum";"Sison amomum";7;7;4;5;0;9
"Mycelis muralis (L.) Dum.";1824;"Mycelis muralis (L.) Dum.";1;0;0;0;0;1;0;0;0;0;0;0;839;;1050;90;1;4;"Mycelis ";"muralis";;"Mycelis ";"muralis";;"Mycelis muralis";"Mycelis muralis";4;7;5;5;0;9
"Buddleja";1825;"Buddleja";1;0;1;0;0;0;0;0;1;0;0;0;6649;;;;0;;"Buddleja";;;"Buddleja";;;"Buddleja";"Buddleja";;;;;;12
"Sphagnum affine Ren. & Card.";1826;"Sphagnum affine Renauld & Cardot";0;0;0;0;0;0;0;0;0;1;0;0;3010;1020;;;0;;"Sphagnum ";"affine";;"Sphagnum ";"affine";;"Sphagnum affine";"Sphagnum affine";8;3;9;2;0;9
"Sphagnum fuscum (Schimp.) Klinggr.";1827;"Sphagnum fuscum (Schimp.) H.Klinggr.";0;0;0;0;0;0;0;0;0;1;0;0;3008;1035;;;0;8;"Sphagnum ";"fuscum";;"Sphagnum ";"fuscum";;"Sphagnum fuscum";"Sphagnum fuscum";8;1;7;1;0;9
"Sphagnum obtusum Warnstorf";1828;"Sphagnum obtusum Warnst.";0;0;0;0;0;0;0;0;0;1;0;0;;1043;;;0;;"Sphagnum ";"obtusum";;"Sphagnum ";"obtusum";;"Sphagnum obtusum";"Sphagnum obtusum";6;3;9;3;0;9
"Larix kaempferi (Lam.) Carrière";1829;"Larix kaempferi (Lambert) Carr.";1;0;1;0;0;0;0;0;0;0;0;0;2230;;876;3500;0;7;"Larix ";"kaempferi";;"Larix ";"kaempferi";;"Larix kaempferi";"Larix kaempferi";7;5;6;3;0;9
"Campanula persicifolia L.";1830;"Campanula persicifolia L.";1;0;0;0;0;1;0;0;0;0;0;0;194;;;90;1;5;"Campanula ";"persicifolia";;"Campanula ";"persicifolia";;"Campanula persicifolia";"Campanula persicifolia";5;8;4;3;0;9
"Carex montana L.";1831;"Carex montana L.";1;0;0;0;0;0;1;0;0;0;0;0;;;286;40;0;7;"Carex ";"montana";;"Carex ";"montana";;"Carex montana";"Carex montana";7;4;6;1;0;9
"Daphne laureola L.";1832;"Daphne laureola L.";1;0;1;0;0;0;0;0;0;0;0;0;;;475;120;0;4;"Daphne ";"laureola";;"Daphne ";"laureola";;"Daphne laureola";"Daphne laureola";4;7;5;5;0;9
"Daphne mezereum L.";1833;"Daphne mezereum L.";1;0;0;1;0;0;0;0;0;0;0;0;392;;476;120;1;4;"Daphne ";"mezereum";;"Daphne ";"mezereum";;"Daphne mezereum";"Daphne mezereum";4;7;5;6;0;9
"Epipactis atrorubens (Hoffmann) Besser";1834;"Epipactis atrorubens (Hoffmann) Besser";1;0;0;0;0;1;0;0;0;0;0;0;459;;546;60;0;7;"Epipactis ";"atrorubens";;"Epipactis ";"atrorubens";;"Epipactis atrorubens";"Epipactis atrorubens";7;8;4;1;0;9
"Helleborus foetidus L.";1835;"Helleborus foetidus L.";1;0;0;0;0;1;0;0;0;0;0;0;;;756;40;1;5;"Helleborus ";"foetidus";;"Helleborus ";"foetidus";;"Helleborus foetidus";"Helleborus foetidus";5;8;4;3;0;9
"Hordelymus europaeus (L.) Harz";1836;"Hordelymus europaeus (L.) Harz";1;1;0;0;0;0;0;0;0;0;0;0;5164;;774;120;1;6;"Hordelymus ";"europaeus";;"Hordelymus ";"europaeus";;"Hordelymus europaeus";"Hordelymus europaeus";6;7;4;7;0;9
"Melica nutans L.";1837;"Melica nutans L.";1;1;0;0;0;0;0;0;0;0;0;0;5090;;1013;60;1;4;"Melica ";"nutans";;"Melica ";"nutans";;"Melica nutans";"Melica nutans";4;7;5;3;0;9
"Melica uniflora Retz.";1838;"Melica uniflora Retz.";1;1;0;0;0;0;0;0;0;0;0;0;808;;1014;60;1;4;"Melica ";"uniflora";;"Melica ";"uniflora";;"Melica uniflora";"Melica uniflora";4;7;5;5;0;9
"Hypericum montanum L.";1839;"Hypericum montanum L.";1;0;0;0;0;1;0;0;0;0;0;0;648;;800;80;0;7;"Hypericum ";"montanum";;"Hypericum ";"montanum";;"Hypericum montanum";"Hypericum montanum";7;8;4;2;0;9
"Actaea spicata L.";1840;"Actaea spicata L.";1;0;0;0;0;1;0;0;0;0;0;0;8;;154;60;1;3;"Actaea ";"spicata";;"Actaea ";"spicata";;"Actaea spicata";"Actaea spicata";3;8;5;6;0;9
"Neottia nidus-avis (L.) L.C.M. Rich.";1841;"Neottia nidus-avis (L.) L.C.M. Rich.";1;0;0;0;0;1;0;0;0;0;0;0;861;;1075;45;1;2;"Neottia ";"nidus-avis";;"Neottia ";"nidus-avis";;"Neottia nidus-avis";"Neottia nidus-avis";2;7;4;5;0;9
"Lamium galeobdolon (L.) L. subsp. argentatum (Smejkal) J. Duvigneaud";1842;"Lamium galeobdolon (L.) L. subsp. argentatum (Smejkal) J. Duvigneaud";1;0;0;0;0;1;0;0;1;0;0;0;1898;;;60;1;3;"Lamium ";"galeobdolon";"subsp. argentatum";"Lamium ";"galeobdolon";"subsp. argentatum";"Lamium galeobdolon subsp. argentatum";"Lamium galeobdolon subsp. argentatum";3;7;5;5;0;22
"Spiraea douglasii Hook.";1843;"Spiraea douglasii Hook.";1;0;1;0;0;0;0;0;1;0;0;0;1891;;;150;0;;"Spiraea ";"douglasii";;"Spiraea ";"douglasii";;"Spiraea douglasii";"Spiraea douglasii";;;;;;9
"Abies alba Mill.";1844;"Abies alba Mill.";1;0;1;0;0;0;0;0;0;0;0;0;2201;;;4500;0;3;"Abies ";"alba";;"Abies ";"alba";;"Abies alba";"Abies alba";3;;;;0;9
"Anemone ranunculoides L.";1845;"Anemone ranunculoides L.";1;0;0;0;0;1;0;0;0;0;0;0;58;;;25;1;3;"Anemone ";"ranunculoides";;"Anemone ";"ranunculoides";;"Anemone ranunculoides";"Anemone ranunculoides";3;8;6;8;0;9
"Gagea lutea (L.) Ker-Gawl.";1846;"Gagea lutea (L.) Ker-Gawl.";1;0;0;0;0;1;0;0;0;0;0;0;534;;674;30;1;4;"Gagea ";"lutea";;"Gagea ";"lutea";;"Gagea lutea";"Gagea lutea";4;7;6;7;0;9
"Gagea spathacea (Hayne) Salisb.";1847;"Gagea spathacea (Hayne) Salisb.";1;0;0;0;0;1;0;0;0;0;0;0;536;;;25;1;2;"Gagea ";"spathacea";;"Gagea ";"spathacea";;"Gagea spathacea";"Gagea spathacea";2;7;6;7;0;9
"Gagea villosa (Bieb.) Sweet";1848;"Gagea villosa (Bieb.) Sweet";1;0;0;0;0;1;0;0;0;0;0;0;537;;;25;0;6;"Gagea ";"villosa";;"Gagea ";"villosa";;"Gagea villosa";"Gagea villosa";6;6;4;5;0;9
"Gagea pratensis (Pers.) Dum.";1849;"Gagea pratensis (Pers.) Dum.";1;0;0;0;0;1;0;0;0;0;0;0;535;;;20;0;7;"Gagea ";"pratensis";;"Gagea ";"pratensis";;"Gagea pratensis";"Gagea pratensis";7;8;4;6;0;9
"Corydalis solida (L.) Clairv.";1850;"Corydalis solida (L.) Clairv.";1;0;0;0;0;1;0;0;0;0;0;0;365;;;25;1;3;"Corydalis ";"solida";;"Corydalis ";"solida";;"Corydalis solida";"Corydalis solida";3;7;5;7;0;9
"Aconitum lycoctonum L.";1851;"Aconitum lycoctonum L.";1;0;0;0;1;1;0;0;0;0;0;0;6;;;125;1;3;"Aconitum ";"lycoctonum";;"Aconitum ";"lycoctonum";;"Aconitum lycoctonum";"Aconitum lycoctonum";3;7;7;8;0;9
"Platyhypnidium riparioides (Hedw.) Dix";1852;"Platyhypnidium riparioides (Hedw.) Dixon";0;0;0;0;0;0;0;0;0;1;0;0;2900;916;;;0;99;"Platyhypnidium ";"riparioides";;"Platyhypnidium ";"riparioides";;"Platyhypnidium riparioides";"Platyhypnidium riparioides";4;6;10;6;0;9
"Hypochaeris glabra L.";1853;"Hypochaeris glabra L.";1;0;0;0;0;0;0;1;0;0;0;0;652;;805;30;0;8;"Hypochaeris ";"glabra";;"Hypochaeris ";"glabra";;"Hypochaeris glabra";"Hypochaeris glabra";8;4;4;2;0;9
"Anthemis cotula L.";1854;"Anthemis cotula L.";1;0;0;0;0;0;0;1;0;0;0;0;63;;99;45;0;7;"Anthemis ";"cotula";;"Anthemis ";"cotula";;"Anthemis cotula";"Anthemis cotula";7;6;5;6;0;9
"Chenopodium bonus-henricus L.";1855;"Chenopodium bonus-henricus L.";1;0;0;0;0;1;0;0;0;0;0;0;307;;363;60;0;8;"Chenopodium ";"bonus-henricus";;"Chenopodium ";"bonus-henricus";;"Chenopodium bonus-henricus";"Chenopodium bonus-henricus";8;7;5;8;0;9
"Chenopodium hybridum L.";1856;"Chenopodium hybridum L.";1;0;0;0;0;0;0;1;0;0;0;0;313;;367;90;0;7;"Chenopodium ";"hybridum";;"Chenopodium ";"hybridum";;"Chenopodium hybridum";"Chenopodium hybridum";7;7;4;7;0;9
