"scientname_hill";"scientname_belgium";"status";"BRC";"LO";"LOopm";"L";"Lopm";"FO";"FOopm";"F";"Fopm";"RO";"ROopm";"R";"Ropm";"NO";"NOopm";"N";"Nopm";"SO";"SOopm";"S";"Sopm";"LOtext";"Ltext";"Ltexts";"FOtext";"Ftext";"Ftexts";"ROtext";"Rtext";"Rtexts";"NOtext";"Ntext";"Ntexts";"SOtext";"Stext";"Stexts";"Id_Hill"
"Legousia hybrida";"Legousia hybrida (L.) Delarbre";;"1124";7,00;;7,00;;4,00;;4,00;;7,00;;7,00;;3,00;;4,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"7";7,00;;"3";4,00;;"0";0,00;;891
"Lemna gibba";"Lemna gibba L.";;"1125";8,00;;7,00;;11,00;;11,00;"*";8,00;;7,00;;8,00;;8,00;;1,00;;1,00;;"8";7,00;;"11";1,00;"1";"8";7,00;;"8";8,00;;"1";1,00;;892
"Lemna minor";"Lemna minor L.";;"1126";7,00;;7,00;;11,00;;11,00;"+";;"•";7,00;;6,00;;6,00;;1,00;;0,00;;"7";7,00;;"11";1,00;"+";"•";7,00;;"6";6,00;;"1";0,00;;893
"Lemna minuta";"Lemna minuta Humb., Bonpl. et Kunth";1,00;"2300";;"–";7,00;"+";;"–";10,00;"+";;"–";7,00;"+";;"–";7,00;"+";;"–";0,00;;"–";7,00;"+";"–";1,00;"+";"–";7,00;"+";"–";7,00;"+";"–";0,00;;894
"Lemna trisulca";"Lemna trisulca L.";;"1128";7,00;;7,00;;12,00;;12,00;"+";7,00;;7,00;;5,00;;5,00;"+";1,00;;0,00;"+";"7";7,00;;"12";1,00;"+";"7";7,00;;"5";5,00;"+";"1";0,00;"+";895
"Leontodon autumnalis";"Leontodon autumnalis L.";;"1129";7,00;;8,00;;5,00;;6,00;;5,00;;6,00;;5,00;;4,00;;0,00;;1,00;;"7";8,00;;"5";6,00;;"5";6,00;;"5";4,00;;"0";1,00;;896
"Leontodon hispidus";"Leontodon hispidus L.";;"1130";8,00;;8,00;;5,00;;4,00;;7,00;;7,00;;6,00;;3,00;"*";0,00;;0,00;;"8";8,00;;"5";4,00;;"7";7,00;;"6";3,00;"Q";"0";0,00;;897
"Leontodon saxatilis";"Leontodon saxatilis Lam.";;"1131";8,00;;8,00;;6,00;;5,00;;6,00;;6,00;;5,00;;3,00;"+";1,00;;0,00;;"8";8,00;;"6";5,00;;"6";6,00;;"5";3,00;"+";"1";0,00;;898
"Lepidium campestre";"Lepidium campestre (L.) R. Brown";;"1133";7,00;;7,00;;4,00;;4,00;;8,00;;7,00;;6,00;;6,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"8";7,00;;"6";6,00;;"0";0,00;;899
"Lepidium draba";"Cardaria draba (L.) Desv.";1,00;"333";8,00;;8,00;;3,00;;4,00;;8,00;;8,00;;4,00;;6,00;"!";0,00;;1,00;;"8";8,00;;"3";4,00;;"8";8,00;;"4";6,00;"7";"0";1,00;;900
"Lepidium heterophyllum";"Lepidium heterophyllum Benth.";;"1139";8,00;;7,00;;5,00;;4,00;;6,00;;5,00;;5,00;;4,00;"+";0,00;;0,00;;"8";7,00;;"5";4,00;;"6";5,00;;"5";4,00;"+";"0";0,00;;901
"Lepidium latifolium";"Lepidium latifolium L.";;"1135";9,00;;8,00;;5,00;;5,00;;7,00;;7,00;;5,00;;8,00;"*";4,00;;3,00;"+";"9";8,00;;"5";5,00;;"7";7,00;;"5";8,00;"Q";"4";3,00;"+";902
"Lepidium ruderale";"Lepidium ruderale L.";;"1137";9,00;;9,00;"°";4,00;;4,00;"°";;"•";7,00;"+";6,00;;7,00;"+";0,00;;0,00;"°";"9";9,00;"3";"4";4,00;"3";"•";7,00;"+";"6";7,00;"+";"0";0,00;"3";903
"Leucanthemum vulgare";"Leucanthemum vulgare Lam.";;"502";7,00;;8,00;;4,00;;4,00;;;"•";7,00;;3,00;;4,00;;0,00;;0,00;;"7";8,00;;"4";4,00;;"•";7,00;;"3";4,00;;"0";0,00;;904
"Leucanthemum x superbum";"Leucanthemum x superbum (Bergm. ex J. Ingram) D.H. Kent";1,00;"2621";9,00;;7,00;"+";4,00;;4,00;"°";7,00;;7,00;"°";3,00;;5,00;"+";;"•";0,00;;"9";7,00;"+";"4";4,00;"3";"7";7,00;"3";"3";5,00;"+";"•";0,00;;905
"Leucojum aestivum";"Leucojum aestivum L.";;"1140";7,00;;7,00;"°";9,00;;9,00;"°";7,00;;7,00;"°";8,00;;8,00;"°";0,00;;0,00;"°";"7";7,00;"3";"9";9,00;"3";"7";7,00;"3";"8";8,00;"3";"0";0,00;"3";906
"Leucojum vernum";"Leucojum vernum L.";2,00;"1141";6,00;;6,00;"°";6,00;;6,00;"°";7,00;;7,00;"°";8,00;;6,00;"+";0,00;;0,00;"°";"6";6,00;"3";"6";6,00;"3";"7";7,00;"3";"8";6,00;"+";"0";0,00;"3";907
"Leymus arenarius";"Leymus arenarius (L.) Hochst.";;"682";9,00;;9,00;;6,00;;5,00;;7,00;;7,00;;6,00;;6,00;;1,00;;3,00;"+";"9";9,00;;"6";5,00;;"7";7,00;;"6";6,00;;"1";3,00;"+";908
"Ligusticum scoticum";;;"1143";;"–";8,00;;;"–";6,00;;;"–";7,00;;;"–";5,00;;;"–";3,00;;"–";8,00;;"–";6,00;;"–";7,00;;"–";5,00;;"–";3,00;;909
"Ligustrum ovalifolium";"Ligustrum ovalifolium Hassk.";1,00;"2250";;"–";7,00;;;"–";5,00;;;"–";7,00;;;"–";8,00;;;"–";0,00;;"–";7,00;;"–";5,00;;"–";7,00;;"–";8,00;;"–";0,00;;910
"Ligustrum vulgare";"Ligustrum vulgare L.";;"1144";7,00;;6,00;;4,00;;5,00;;8,00;;7,00;;3,00;;5,00;"!";0,00;;0,00;;"7";6,00;;"4";5,00;;"8";7,00;;"3";5,00;"7";"0";0,00;;911
"Lilium martagon";"Lilium martagon L.";1,00;"1145";4,00;;3,00;;5,00;;4,00;;7,00;;7,00;;5,00;;6,00;;0,00;;0,00;;"4";3,00;;"5";4,00;;"7";7,00;;"5";6,00;;"0";0,00;;912
"Limonium auriculae-ursifolium";;5,00;"1150";;"–";9,00;"+";;"–";4,00;"+";;"–";6,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";4,00;"+";"–";6,00;"+";"–";3,00;"+";"–";4,00;"+";913
"Limonium bellidifolium";;;"1147";;"–";9,00;;;"–";8,00;;;"–";8,00;;;"–";5,00;;;"–";5,00;"+";"–";9,00;;"–";8,00;;"–";8,00;;"–";5,00;;"–";5,00;"+";914
"Limonium binervosum";"Limonium binervosum (G.E. Smith) C.E. Salmon";;"2532";;"–";9,00;;;"–";8,00;;;"–";8,00;;;"–";5,00;;;"–";5,00;"+";"–";9,00;;"–";8,00;;"–";8,00;;"–";5,00;;"–";5,00;"+";915
"Limonium britannicum";;3,00;"2533";;"–";9,00;"+";;"–";4,00;"+";;"–";7,00;"+";;"–";5,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";4,00;"+";"–";7,00;"+";"–";5,00;"+";"–";4,00;"+";916
"Limonium dodartiforme";;3,00;"2534";;"–";9,00;"+";;"–";3,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";3,00;"+";"–";7,00;"+";"–";3,00;"+";"–";4,00;"+";917
"Limonium humile";;;"1149";;"–";9,00;;;"–";8,00;;;"–";7,00;;;"–";5,00;;;"–";6,00;"+";"–";9,00;;"–";8,00;;"–";7,00;;"–";5,00;;"–";6,00;"+";918
"Limonium loganicum";;3,00;"2535";;"–";9,00;"+";;"–";3,00;"+";;"–";4,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";3,00;"+";"–";4,00;"+";"–";3,00;"+";"–";4,00;"+";919
"Limonium normannicum";;5,00;"2562";;"–";9,00;"+";;"–";5,00;"+";;"–";6,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";5,00;"+";"–";6,00;"+";"–";3,00;"+";"–";4,00;"+";920
"Limonium paradoxum";;3,00;"1151";;"–";9,00;"+";;"–";4,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";4,00;"+";"–";7,00;"+";"–";3,00;"+";"–";4,00;"+";921
"Limonium parvum";;3,00;"2536";;"–";9,00;"+";;"–";3,00;"+";;"–";8,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";3,00;"+";"–";8,00;"+";"–";3,00;"+";"–";4,00;"+";922
"Limonium procerum";;3,00;"2537";;"–";9,00;"+";;"–";3,00;"+";;"–";8,00;"+";;"–";3,00;"+";;"–";5,00;"+";"–";9,00;"+";"–";3,00;"+";"–";8,00;"+";"–";3,00;"+";"–";5,00;"+";923
"Limonium recurvum";;3,00;"1152";;"–";9,00;"+";;"–";3,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";5,00;"+";"–";9,00;"+";"–";3,00;"+";"–";7,00;"+";"–";3,00;"+";"–";5,00;"+";924
"Limonium transwallianum";;3,00;"1153";;"–";9,00;"+";;"–";3,00;"+";;"–";8,00;"+";;"–";3,00;"+";;"–";4,00;"+";"–";9,00;"+";"–";3,00;"+";"–";8,00;"+";"–";3,00;"+";"–";4,00;"+";925
"Limonium vulgare";"Limonium vulgare Mill.";;"1154";9,00;;9,00;;7,00;;8,00;;7,00;;8,00;;5,00;;6,00;;8,00;;6,00;"+";"9";9,00;;"7";8,00;;"7";8,00;;"5";6,00;;"8";6,00;"+";926
"Limosella aquatica";"Limosella aquatica L.";;"1155";7,00;;8,00;;8,00;;8,00;;7,00;;5,00;"!";3,00;;5,00;"!";0,00;;0,00;;"7";8,00;;"8";8,00;;"7";5,00;"7";"3";5,00;"7";"0";0,00;;927
"Limosella australis";;;"1157";;"–";7,00;"+";;"–";10,00;"+";;"–";7,00;"+";;"–";4,00;"+";;"–";1,00;"+";"–";7,00;"+";"–";1,00;"+";"–";7,00;"+";"–";4,00;"+";"–";1,00;"+";928
"Linaria pelisseriana";"Linaria pelisseriana (L.) Mill.";5,00;"1159";;"–";8,00;"+";;"–";3,00;"+";;"–";5,00;"+";;"–";4,00;"+";;"–";0,00;;"–";8,00;"+";"–";3,00;"+";"–";5,00;"+";"–";4,00;"+";"–";0,00;;929
"Linaria purpurea";"Linaria purpurea (L.) Mill.";1,00;"1160";;"–";8,00;;;"–";5,00;;;"–";7,00;;;"–";6,00;"+";;"–";0,00;;"–";8,00;;"–";5,00;;"–";7,00;;"–";6,00;"+";"–";0,00;;930
"Linaria repens";"Linaria repens (L.) Mill.";;"1161";7,00;;8,00;;4,00;;5,00;;4,00;;7,00;"+";6,00;;5,00;;0,00;;0,00;;"7";8,00;;"4";5,00;;"4";7,00;"+";"6";5,00;;"0";0,00;;931
"Linaria vulgaris";"Linaria vulgaris Mill.";;"1164";8,00;;7,00;;4,00;;4,00;;7,00;;8,00;;5,00;;6,00;;0,00;;0,00;;"8";7,00;;"4";4,00;;"7";8,00;;"5";6,00;;"0";0,00;;932
"Linnaea borealis";;;"1165";5,00;;5,00;"°";5,00;;5,00;"°";2,00;;2,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"5";5,00;"3";"5";5,00;"3";"2";2,00;"3";"2";2,00;"3";"0";0,00;"3";933
"Linum bienne";"Linum bienne Mill.";;"1168";;"–";8,00;"+";;"–";4,00;;;"–";7,00;;;"–";5,00;;;"–";0,00;;"–";8,00;"+";"–";4,00;;"–";7,00;;"–";5,00;;"–";0,00;;934
"Linum catharticum";"Linum catharticum L.";;"1169";7,00;;8,00;;;"•";5,00;;7,00;;7,00;;2,00;;2,00;;1,00;;0,00;;"7";8,00;;"•";5,00;;"7";7,00;;"2";2,00;;"1";0,00;;935
"Linum perenne";"Linum perenne L.";;"1167";7,00;;7,00;;3,00;;3,00;;8,00;;8,00;;2,00;;2,00;;0,00;;0,00;;"7";7,00;;"3";3,00;;"8";8,00;;"2";2,00;;"0";0,00;;936
"Linum usitatissimum";"Linum usitatissimum L.";1,00;"1170";;"–";7,00;;;"–";4,00;;;"–";7,00;;;"–";5,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";7,00;;"–";5,00;;"–";0,00;;937
"Liparis loeselii";"Liparis loeselii (L.) L.C.M. Rich.";;"1171";8,00;;8,00;;9,00;;8,00;;9,00;;8,00;;2,00;;3,00;;0,00;;0,00;"+";"8";8,00;;"9";8,00;;"9";8,00;;"2";3,00;;"0";0,00;"+";938
"Listera cordata";"Listera cordata (L.) R. Brown";;"1172";3,00;;3,00;"+";7,00;;6,00;;2,00;;2,00;;2,00;;2,00;;0,00;;0,00;;"3";3,00;"+";"7";6,00;;"2";2,00;;"2";2,00;;"0";0,00;;939
"Listera ovata";"Listera ovata (L.) R. Brown";;"1173";6,00;;6,00;;6,00;;5,00;"+";7,00;;7,00;;7,00;;5,00;"+";0,00;;0,00;;"6";6,00;;"6";5,00;"+";"7";7,00;;"7";5,00;"+";"0";0,00;;940
"Lithospermum arvense";"Lithospermum arvense L.";;"278";5,00;;8,00;"+";;"•";4,00;;7,00;;7,00;;5,00;;5,00;"+";0,00;;0,00;;"5";8,00;"+";"•";4,00;;"7";7,00;;"5";5,00;"+";"0";0,00;;941
"Lithospermum officinale";"Lithospermum officinale L.";;"1174";6,00;;6,00;"°";5,00;;5,00;"°";8,00;;8,00;"°";5,00;;5,00;"°";0,00;;0,00;"°";"6";6,00;"3";"5";5,00;"3";"8";8,00;"3";"5";5,00;"3";"0";0,00;"3";942
"Lithospermum purpurocaeruleum";"Lithospermum purpurocaeruleum L.";;"279";5,00;;5,00;"°";4,00;;4,00;"°";7,00;;7,00;"°";4,00;;4,00;"°";0,00;;0,00;"°";"5";5,00;"3";"4";4,00;"3";"7";7,00;"3";"4";4,00;"3";"0";0,00;"3";943
"Littorella uniflora";"Littorella uniflora (L.) Aschers.";;"1175";7,00;;8,00;;10,00;;10,00;"*";7,00;;5,00;"!";2,00;;3,00;;1,00;;0,00;;"7";8,00;;"10";1,00;"0";"7";5,00;"7";"2";3,00;;"1";0,00;;944
"Lloydia serotina";;;"1176";9,00;;7,00;"+";5,00;;5,00;"°";5,00;;5,00;"°";1,00;;1,00;"°";0,00;;0,00;"°";"9";7,00;"+";"5";5,00;"3";"5";5,00;"3";"1";1,00;"3";"0";0,00;"3";945
"Lobelia dortmanna";"Lobelia dortmanna L.";;"1177";7,00;;8,00;;10,00;;10,00;"!";5,00;;5,00;;1,00;;1,00;;0,00;;0,00;;"7";8,00;;"10";1,00;"7";"5";5,00;;"1";1,00;;"0";0,00;;946
"Lobelia urens";"Lobelia urens L.";;"1178";;"–";8,00;;;"–";8,00;;;"–";4,00;;;"–";2,00;;;"–";0,00;;"–";8,00;;"–";8,00;;"–";4,00;;"–";2,00;;"–";0,00;;947
"Lobularia maritima";"Lobularia maritima (L.) Desv.";1,00;"1179";;"–";9,00;"+";;"–";3,00;"+";;"–";7,00;"+";;"–";4,00;"+";;"–";3,00;"+";"–";9,00;"+";"–";3,00;"+";"–";7,00;"+";"–";4,00;"+";"–";3,00;"+";948
"Loiseleuria procumbens";;;"1180";9,00;;9,00;"+";5,00;;5,00;;3,00;;2,00;;1,00;;2,00;;0,00;;0,00;;"9";9,00;"+";"5";5,00;;"3";2,00;;"1";2,00;;"0";0,00;;949
"Lolium multiflorum";"Lolium multiflorum Lam.";1,00;"1182";7,00;;7,00;;4,00;;5,00;;7,00;;7,00;;8,00;;7,00;;0,00;;0,00;;"7";7,00;;"4";5,00;;"7";7,00;;"8";7,00;;"0";0,00;;950
"Lolium perenne";"Lolium perenne L.";;"1183";8,00;;8,00;;5,00;;5,00;;7,00;;6,00;;7,00;;6,00;;0,00;;0,00;;"8";8,00;;"5";5,00;;"7";6,00;;"7";6,00;;"0";0,00;;951
"Lonicera periclymenum";"Lonicera periclymenum L.";;"1188";6,00;;5,00;;;"•";6,00;;3,00;;5,00;"!";4,00;;5,00;;0,00;;0,00;;"6";5,00;;"•";6,00;;"3";5,00;"7";"4";5,00;;"0";0,00;;952
"Lonicera xylosteum";"Lonicera xylosteum L.";2,00;"1189";5,00;;5,00;"°";5,00;;5,00;"°";7,00;;7,00;"°";6,00;;6,00;"°";0,00;;0,00;"°";"5";5,00;"3";"5";5,00;"3";"7";7,00;"3";"6";6,00;"3";"0";0,00;"3";953
"Lotus angustissimus";"Lotus angustissimus L.";;"1190";;"–";8,00;"+";;"–";3,00;"+";;"–";4,00;"+";;"–";3,00;"+";;"–";0,00;;"–";8,00;"+";"–";3,00;"+";"–";4,00;"+";"–";3,00;"+";"–";0,00;;954
"Lotus corniculatus";"Lotus corniculatus L.";;"1191";7,00;;7,00;;4,00;;4,00;;7,00;;6,00;"+";3,00;;2,00;;0,00;;1,00;"+";"7";7,00;;"4";4,00;;"7";6,00;"+";"3";2,00;;"0";1,00;"+";955
"Lotus glaber";"Lotus corniculatus L. subsp. tenuis (Waldst. et Kit. ex Willd.) Berher";;"1193";7,00;;7,00;;7,00;;7,00;;8,00;;7,00;"+";4,00;;5,00;;4,00;;1,00;"*";"7";7,00;;"7";7,00;;"8";7,00;"+";"4";5,00;;"4";1,00;"Q";956
"Lotus pedunculatus";"Lotus pedunculatus Cav.";;"1194";7,00;;7,00;;8,00;;8,00;;6,00;;6,00;;4,00;;4,00;;0,00;;0,00;;"7";7,00;;"8";8,00;;"6";6,00;;"4";4,00;;"0";0,00;;957
"Lotus subbiflorus";"Lotus hispidus Desf. ex DC.";;"1192";;"–";7,00;;;"–";5,00;;;"–";6,00;;;"–";5,00;;;"–";0,00;;"–";7,00;;"–";5,00;;"–";6,00;;"–";5,00;;"–";0,00;;958
"Ludwigia palustris";"Ludwigia palustris (L.) S. Elliott";;"1042";8,00;;8,00;"°";9,00;;9,00;"°";4,00;;4,00;"°";4,00;;4,00;"°";0,00;;0,00;"°";"8";8,00;"3";"9";9,00;"3";"4";4,00;"3";"4";4,00;"3";"0";0,00;"3";959
"Lupinus arboreus";"Lupinus arboreus Sims";1,00;"1196";;"–";9,00;;;"–";4,00;;;"–";7,00;;;"–";3,00;"+";;"–";0,00;"+";"–";9,00;;"–";4,00;;"–";7,00;;"–";3,00;"+";"–";0,00;"+";960
"Lupinus polyphyllus";"Lupinus polyphyllus Lindl.";1,00;"2428";7,00;;7,00;"°";5,00;;5,00;"°";4,00;;5,00;"+";;"•";5,00;"+";;"•";0,00;;"7";7,00;"3";"5";5,00;"3";"4";5,00;"+";"•";5,00;"+";"•";0,00;;961
"Luronium natans";"Luronium natans (L.) Rafin.";;"1198";8,00;;8,00;"+";11,00;;11,00;"+";5,00;;5,00;"+";3,00;;3,00;"+";0,00;;0,00;"+";"8";8,00;"+";"11";1,00;"+";"5";5,00;"+";"3";3,00;"+";"0";0,00;"+";962
"Luzula arcuata";;;"1199";;"–";9,00;"+";;"–";5,00;"+";;"–";2,00;"+";;"–";2,00;"+";;"–";0,00;;"–";9,00;"+";"–";5,00;"+";"–";2,00;"+";"–";2,00;"+";"–";0,00;;963
"Luzula campestris";"Luzula campestris (L.) DC.";;"1201";7,00;;7,00;;4,00;;4,00;;3,00;;5,00;"!";3,00;;2,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"3";5,00;"7";"3";2,00;;"0";0,00;;964
"Luzula forsteri";"Luzula forsteri (Smith) DC.";;"1202";4,00;;4,00;"°";4,00;;4,00;"°";5,00;;5,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"4";4,00;"3";"4";4,00;"3";"5";5,00;"3";"2";2,00;"3";"0";0,00;"3";965
"Luzula multiflora";"Luzula multiflora (Ehrh.) Lej.";;"1204";7,00;;7,00;;5,00;;6,00;;5,00;;3,00;"!";3,00;;3,00;;0,00;;0,00;;"7";7,00;;"5";6,00;;"5";3,00;"7";"3";3,00;;"0";0,00;;966
"Luzula pallidula";"Luzula multiflora (Ehrh.) Lej. subsp. pallescens (Swartz) Reichg.";;"1206";7,00;;7,00;"°";5,00;;7,00;"+";3,00;;5,00;"+";2,00;;2,00;"°";0,00;;0,00;"°";"7";7,00;"3";"5";7,00;"+";"3";5,00;"+";"2";2,00;"3";"0";0,00;"3";967
"Luzula pilosa";"Luzula pilosa (L.) Willd.";;"1207";2,00;;5,00;"*";5,00;;5,00;;5,00;;5,00;"+";4,00;;3,00;;0,00;;0,00;;"2";5,00;"Q";"5";5,00;;"5";5,00;"+";"4";3,00;;"0";0,00;;968
"Luzula spicata";;;"1208";8,00;;8,00;;4,00;;5,00;;4,00;;3,00;;1,00;;2,00;"+";0,00;;0,00;;"8";8,00;;"4";5,00;;"4";3,00;;"1";2,00;"+";"0";0,00;;969
"Luzula sylvatica";"Luzula sylvatica (Huds.) Gaudin";;"1209";4,00;;5,00;;5,00;;5,00;;4,00;;4,00;;4,00;;4,00;;0,00;;0,00;;"4";5,00;;"5";5,00;;"4";4,00;;"4";4,00;;"0";0,00;;970
"Lychnis alpina";;;"2221";;"–";8,00;"+";;"–";3,00;"+";;"–";4,00;"+";;"–";2,00;"+";;"–";0,00;;"–";8,00;"+";"–";3,00;"+";"–";4,00;"+";"–";2,00;"+";"–";0,00;;971
"Lychnis flos-cuculi";"Lychnis flos-cuculi L.";;"1210";7,00;;7,00;;7,00;;9,00;"!";;"•";6,00;;;"•";4,00;;0,00;;0,00;;"7";7,00;;"7";9,00;"7";"•";6,00;;"•";4,00;;"0";0,00;;972
"Lychnis viscaria";"Lychnis viscaria L.";;"2222";7,00;;8,00;;3,00;;3,00;;4,00;;4,00;;2,00;;2,00;;0,00;;0,00;;"7";8,00;;"3";3,00;;"4";4,00;;"2";2,00;;"0";0,00;;973
"Lycium barbarum";"Lycium barbarum L.";1,00;"1212";9,00;;8,00;"+";5,00;;5,00;"°";7,00;;7,00;"°";4,00;;4,00;"°";0,00;;0,00;"°";"9";8,00;"+";"5";5,00;"3";"7";7,00;"3";"4";4,00;"3";"0";0,00;"3";974
"Lycium chinense";"Lycium chinense Mill.";1,00;"1211";;"–";8,00;;;"–";5,00;;;"–";7,00;;;"–";4,00;;;"–";1,00;;"–";8,00;;"–";5,00;;"–";7,00;;"–";4,00;;"–";1,00;;975
"Lycopersicon esculentum";"Solanum lycopersicum L.";1,00;"4359";;"–";7,00;;;"–";5,00;;;"–";7,00;;;"–";8,00;;;"–";0,00;;"–";7,00;;"–";5,00;;"–";7,00;;"–";8,00;;"–";0,00;;976
"Lycopodiella inundata";"Lycopodiella inundata (L.) Holub";;"1216";8,00;;9,00;;9,00;;9,00;;3,00;;2,00;"+";1,00;;1,00;;0,00;;0,00;;"8";9,00;;"9";9,00;;"3";2,00;"+";"1";1,00;;"0";0,00;;977
"Lycopodium annotinum";"Lycopodium annotinum L.";;"1214";3,00;;6,00;"+";6,00;;6,00;"°";3,00;;3,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"3";6,00;"+";"6";6,00;"3";"3";3,00;"3";"3";3,00;"3";"0";0,00;"3";978
"Lycopodium clavatum";"Lycopodium clavatum L.";;"1215";8,00;;7,00;"+";4,00;;5,00;;2,00;;1,00;;2,00;;2,00;;0,00;;0,00;;"8";7,00;"+";"4";5,00;;"2";1,00;;"2";2,00;;"0";0,00;;979
"Lycopus europaeus";"Lycopus europaeus L.";;"1219";7,00;;7,00;;9,00;;8,00;;7,00;;7,00;;7,00;;6,00;;0,00;;0,00;;"7";7,00;;"9";8,00;;"7";7,00;;"7";6,00;;"0";0,00;;980
"Lysichiton americanus";;1,00;"2619";;"–";4,00;"+";;"–";9,00;"+";;"–";6,00;"+";;"–";8,00;"+";;"–";0,00;;"–";4,00;"+";"–";9,00;"+";"–";6,00;"+";"–";8,00;"+";"–";0,00;;981
"Lysimachia nemorum";"Lysimachia nemorum L.";;"1221";2,00;;5,00;"*";7,00;;7,00;;7,00;;4,00;"*";7,00;;5,00;"!";0,00;;0,00;;"2";5,00;"Q";"7";7,00;;"7";4,00;"Q";"7";5,00;"7";"0";0,00;;982
"Lysimachia nummularia";"Lysimachia nummularia L.";;"1222";4,00;;5,00;;6,00;;7,00;;;"•";5,00;;;"•";5,00;;0,00;;0,00;;"4";5,00;;"6";7,00;;"•";5,00;;"•";5,00;;"0";0,00;;983
"Lysimachia punctata";"Lysimachia punctata L.";1,00;"1223";6,00;;6,00;"°";7,00;;6,00;"+";8,00;;7,00;"+";4,00;;5,00;"+";;"•";0,00;;"6";6,00;"3";"7";6,00;"+";"8";7,00;"+";"4";5,00;"+";"•";0,00;;984
"Lysimachia thyrsiflora";"Lysimachia thyrsiflora L.";;"1350";7,00;;8,00;;9,00;;10,00;"*";;"•";4,00;;4,00;;3,00;;0,00;;0,00;;"7";8,00;;"9";1,00;"0";"•";4,00;;"4";3,00;;"0";0,00;;985
"Lysimachia vulgaris";"Lysimachia vulgaris L.";;"1225";6,00;;7,00;;8,00;;9,00;;;"•";7,00;;;"•";5,00;;0,00;;0,00;;"6";7,00;;"8";9,00;;"•";7,00;;"•";5,00;;"0";0,00;;986
"Lythrum hyssopifolia";"Lythrum hyssopifolia L.";;"1226";8,00;;8,00;"+";7,00;;6,00;;3,00;;6,00;"*";4,00;;4,00;;2,00;;0,00;"!";"8";8,00;"+";"7";6,00;;"3";6,00;"Q";"4";4,00;;"2";0,00;"7";987
"Lythrum portula";"Lythrum portula (L.) D.A. Webb";;"1444";8,00;;8,00;;7,00;;8,00;;3,00;;5,00;"!";2,00;;3,00;"+";0,00;;0,00;;"8";8,00;;"7";8,00;;"3";5,00;"7";"2";3,00;"+";"0";0,00;;988
"Lythrum salicaria";"Lythrum salicaria L.";;"1227";7,00;;7,00;;8,00;;9,00;;6,00;;7,00;;;"•";5,00;;1,00;;0,00;;"7";7,00;;"8";9,00;;"6";7,00;;"•";5,00;;"1";0,00;;989
"Mahonia aquifolium";"Mahonia aquifolium (Pursh) Nutt.";1,00;"1228";;"–";5,00;"+";;"–";4,00;;;"–";6,00;"+";;"–";5,00;"+";;"–";0,00;;"–";5,00;"+";"–";4,00;;"–";6,00;"+";"–";5,00;"+";"–";0,00;;990
"Maianthemum bifolium";"Maianthemum bifolium (L.) F.W. Schmidt";;"1229";3,00;;3,00;"°";5,00;;5,00;"°";3,00;;3,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"3";3,00;"3";"5";5,00;"3";"3";3,00;"3";"3";3,00;"3";"0";0,00;"3";991
"Malus domestica";"Malus sylvestris (L.) Mill. subsp. mitis (Wallr.) Mansf.";1,00;"1230.1";;"–";7,00;"+";;"–";5,00;;;"–";6,00;"+";;"–";7,00;"+";;"–";0,00;;"–";7,00;"+";"–";5,00;;"–";6,00;"+";"–";7,00;"+";"–";0,00;;992
"Malus sylvestris";"Malus sylvestris (L.) Mill.";;"1230.2";7,00;;7,00;"+";5,00;;5,00;;7,00;;6,00;;5,00;;6,00;;0,00;;0,00;;"7";7,00;"+";"5";5,00;;"7";6,00;;"5";6,00;;"0";0,00;;993
"Malva moschata";"Malva moschata L.";;"1232";8,00;;7,00;;4,00;;3,00;;7,00;;7,00;;4,00;;4,00;;0,00;;0,00;;"8";7,00;;"4";3,00;;"7";7,00;;"4";4,00;;"0";0,00;;994
"Malva neglecta";"Malva neglecta Wallr.";;"1233";8,00;;7,00;;5,00;;4,00;;7,00;;8,00;;9,00;;7,00;"+";0,00;;0,00;;"8";7,00;;"5";4,00;;"7";8,00;;"9";7,00;"+";"0";0,00;;995
"Malva pusilla";"Malva pusilla Smith";1,00;"1235";8,00;;8,00;;4,00;;5,00;;5,00;;5,00;"+";5,00;;5,00;"+";1,00;;0,00;;"8";8,00;;"4";5,00;;"5";5,00;"+";"5";5,00;"+";"1";0,00;;996
